c1		c2		c1parents		c2parents		conf		match		info		alt_c1		alt_c2		ignored_c1		ignored_c2	
IGSN:drumlin	drumlin	ENVO:00000276	drumlin			ENVO:00000083	hill	medium		drumlin		[info(label,label,downcase)]	[info(label,label,downcase)]					IGSN:ridge|IGSN:ridge	ridge|ridge		
IGSN:dune	dune	ENVO:00000170	dune			ENVO:00000083	hill	medium		dune		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]					IGSN:ridge|IGSN:ridge	ridge|ridge		
IGSN:estuary	estuary	ENVO:00000045	estuary			ENVO:00000063	water body	high		estuary		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]								
IGSN:flat	flat	ENVO:00000241	tidal mudflat			ENVO:00000192	mudflat	medium		flat		[info(label,exact,downcase)]	[info(label,exact,downcase)]							ENVO:00000104|ENVO:00000104|ENVO:00000151|ENVO:00000151	undersea feature|undersea feature|sabkha|sabkha
IGSN:floodplain	floodplain	ENVO:00000255	flood plain			ENVO:00000086	plain	high		floodplain		[info(label,exact,downcase)]	[info(label,exact,downcase)]								
IGSN:hydrothermal vent	hydrothermal vent	ENVO:00000215	hydrothermal vent			ENVO:00000027	spring	high		hydrothermal vent		[info(label,label,downcase)]	[info(label,label,downcase)]								
IGSN:ice mass	ice mass	ENVO:01000293	ice mass			BFO:0000030|ENVO:01000818	|cryosphere	medium		ice mass		[info(label,label,downcase)]	[info(label,label,downcase)]							ENVO:00000132|ENVO:00000132|ENVO:00000342|ENVO:00000342	ice sheet|ice sheet|ice cap dome|ice cap dome
IGSN:isthmus	isthmus	ENVO:00000174	isthmus			ENVO:00000000	geographic feature	high		isthmus		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]								
IGSN:lake	lake	ENVO:00000020	lake			ENVO:01000617	lentic water body	medium		lake		[info(label,label,downcase)]	[info(label,label,downcase)]							ENVO:00000025|ENVO:00000025|ENVO:00000033|ENVO:00000033|ENVO:00000055|ENVO:00000055|ENVO:00000219|ENVO:00000219|ENVO:00000234|ENVO:00000234|ENVO:00000234|ENVO:00000234|ENVO:00000268|ENVO:00000268|ENVO:00000270|ENVO:00000270|ENVO:00000277|ENVO:00000277|ENVO:00000387|ENVO:00000387|ENVO:00000435|ENVO:00000435|ENVO:00000487|ENVO:00000487|ENVO:00000502|ENVO:00000502|ENVO:00000532|ENVO:00000532	reservoir|reservoir|pond|pond|saline evaporation pond|saline evaporation pond|landlocked sea|landlocked sea|bayou|bayou|bayou|bayou|lake bed|lake bed|beaver pond|beaver pond|dry lake|dry lake|container of an intermittent lake|container of an intermittent lake|proglacial lake|proglacial lake|paternoster lake|paternoster lake|container of an intermittent saline lake|container of an intermittent saline lake|intermittent saline evaporation pond|intermittent saline evaporation pond
IGSN:lava field	lava field	ENVO:01000437	lava field			ENVO:01000352	field	high		lava field		[info(label,label,downcase)]	[info(label,label,downcase)]								
IGSN:massif	massif	ENVO:00000381	massif			ENVO:00000176	elevation	high		massif		[info(label,label,downcase)]	[info(label,label,downcase)]								
IGSN:mesa	mesa	ENVO:00000179	mesa			ENVO:01001491	flattened elevation	medium		mesa		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]					IGSN:plateau|IGSN:plateau	plateau|plateau	ENVO:00000264|ENVO:00000264	seamount|seamount
IGSN:moraine	moraine	ENVO:00000177	moraine			ENVO:00000000	geographic feature	medium		moraine		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]							ENVO:00000249|ENVO:00000249|ENVO:00000252|ENVO:00000252	lateral moraine|lateral moraine|terminal moraine|terminal moraine
IGSN:mountain	mountain	ENVO:00000081	mountain			ENVO:00000477	mount	medium		mountain		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]							ENVO:00000083|ENVO:00000083|ENVO:00000264|ENVO:00000264|ENVO:00000264|ENVO:00000477|ENVO:00000477	hill|hill|seamount|seamount|seamount|mount|mount
