subject_id	subject_label	object_id	object_label	predicate_id	match_type	Comments																		
http://purl.obolibrary.org/obo/ENVO_00000039	fjord	http://sweetontology.net/realmHydroBody/Fiord	Fiord	skos:closeMatch	HumanCurated	SWEET considers fjords to be a subtype of estuary - ENVO doesn't.  																		
http://purl.obolibrary.org/obo/ENVO_01001552	flaw lead	http://sweetontology.net/realmCryo/Lead	Lead	skos:relatedMatch	HumanCurated	"SWEET doesn't have this level of granularity and limits leads to sea ice though fresh water ice can have leads as well (e.g., Great Lakes ice)"																		
http://purl.obolibrary.org/obo/ENVO_01001507	floating ice calf	http://sweetontology.net/realmCryo/Calf	Calf	skos:broadMatch	HumanCurated	SWEET Calf is less specific than ENVO floating ice calf																		
http://purl.obolibrary.org/obo/ENVO_01001523	frazil	http://sweetontology.net/realmCryo/FrazilIce	FrazilIce	skos:relatedMatch	HumanCurated	ENVO Frazil is the needle-like crystals in suspension which may become frazil ice upon congelation.																		
http://purl.obolibrary.org/obo/ENVO_03000046	frazil ice	http://sweetontology.net/realmCryo/FrazilIce	FrazilIce	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term																		
http://purl.obolibrary.org/obo/ENVO_01001548	freezing	http://sweetontology.net/procStateChange/Freezing	Freezing	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term																		
http://purl.obolibrary.org/obo/ENVO_03000137	freezing fog	http://sweetontology.net/phenAtmoFog/FreezingFog	FreezingFog	skos:relatedMatch	HumanCurated	In SWEET FreezingFog is a Phenonena; while in ENVO it is an environmental material . 																		
http://purl.obolibrary.org/obo/ENVO_03400010	freezing rain	http://sweetontology.net/phenAtmoPrecipitation/FreezingRain	FreezingRain	skos:relatedMatch	HumanCurated	"In ENVO we have the process and the object resulting from it the latter here, in SWEET it's the object resulting from the process. "																		
http://purl.obolibrary.org/obo/ENVO_01000896	freezing rainfall	http://sweetontology.net/phenAtmoPrecipitation/FreezingRain	FreezingRain	skos:closeMatch	HumanCurated	In ENVO this is a process while in SWEET it is a type of Atmospheric precipitation which is a phenomenon which likely means process but this isn't guaranteed. SWEET would need to seperate their phenonma hierarchy into phenomenal vs processes.																		
http://purl.obolibrary.org/obo/ENVO_01001511	freshwater ice	http://sweetontology.net/matrWater/Ice	Ice	skos:broadMatch	HumanCurated	Holds regardless if parent is exact or close.																		
http://purl.obolibrary.org/obo/ENVO_01001850	frost	http://sweetontology.net/matrWater/Frost	Frost	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term																		
http://purl.obolibrary.org/obo/ENVO_01001568	frost heave	http://sweetontology.net/phenGeolFault/Heave	Heave	skos:relatedMatch	HumanCurated	"SWEET refers to a process, ENVO a landform"																		
http://purl.obolibrary.org/obo/ENVO_01001538	frost-formed hummock	" 	

http://sweetontology.net/realmLandOrographic/Hummock"	Hummock	skos:relatedMatch	HumanCurated	An environmental material in ENVO but a geometric object in SWEET.																		
http://purl.obolibrary.org/obo/ENVO_01001524	frozen land	http://sweetontology.net/realmCryo/FrozenGround	FrozenGround	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term																		
http://purl.obolibrary.org/obo/ENVO_01001555	frozen lead	http://sweetontology.net/realmCryo/Lead	Lead	skos:relatedMatch	HumanCurated	SWEET doesn't have this level of granularity																		
http://purl.obolibrary.org/obo/ENVO_00002236	cryosol	http://sweetontology.net/realmSoil/Gelisol	Gelisol	skos:relatedMatch	HumanCurated	"In SWEET this in a classification scheme (a categorical datatype with value Gelisol), not a physical entity as it is represented in ENVO"																		
http://purl.obolibrary.org/obo/ENVO_03000037	glacial ice ablation zone	http://sweetontology.net/realmCryo/AblationZone	AblationZone	skos:closeMatch	HumanCurated	Ablation zone is in the Cryospheric Realm of SWEET but it isn't clear exactly how that compares to the zones in ENVO where there is a hierarchy of zones																		
http://purl.obolibrary.org/obo/ENVO_01001352	glacial ice accumulation zone	http://sweetontology.net/realmCryo/AccumulationZone	AccumulationZone	skos:closeMatch	HumanCurated	Accumulation zone is in the Cryospheric Realm of SWEET but it isn't clear exactly how that compares to the zones in ENVO where there is a hierarchy of zones																		
http://purl.obolibrary.org/obo/ENVO_03000029	glacial ice gain	http://sweetontology.net/phenCryo/Glaciation	Glaciation	skos:closeMatch	HumanCurated	This is the process of ice gain in glaciers																		
http://purl.obolibrary.org/obo/ENVO_01001655	glacial process	http://sweetontology.net/phenCryo/GlacialProcess	GlacialProcess	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term																		
http://purl.obolibrary.org/obo/ENVO_01001656	glacial retreat	http://sweetontology.net/phenCryo/GlacierRetreat	GlacierRetreat	skos:relatedMatch	HumanCurated	"SWEET aggregates several processes operating at different levels.  SWEET has close match to the ENVO term, but we aren't convinced"																		
http://purl.obolibrary.org/obo/ENVO_01001641	glaciation	http://sweetontology.net/phenCryo/Glaciation	Glaciation	skos:relatedMatch	HumanCurated	Glaciation in ENVO refers to the time period when glaciers are growing.																		
http://purl.obolibrary.org/obo/ENVO_00000133	glacier	http://sweetontology.net/realmCryo/Glacier	Glacier	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term. SWEET has this as exact match but is missing a definition.																		
http://purl.obolibrary.org/obo/ENVO_00000133	glacier	http://sweetontology.net/realmCryo/GlacialRegion	GlacialRegion	skos:relatedMatch	HumanCurated	SWEET's term here is a zone.  There is no related term in ENVO so we made a related match to ENVO's glacier.																		
http://purl.obolibrary.org/obo/ENVO_01001529	glacier snout	http://sweetontology.net/realmCryo/GlacierTerminus	GlacierTerminus	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term																		
http://purl.obolibrary.org/obo/ENVO_01001529	glacier snout	http://sweetontology.net/realmCryo/Snout	Snout	skos:relatedMatch	HumanCurated	"ENVO term is a mass, SWEET term is a region although both probably reffer to the same part of the glacier."																		
http://purl.obolibrary.org/obo/ENVO_01001746	glacier wind	http://sweetontology.net/phenAtmoWindMesoscale/GlacierWind	GlacierWind	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term																		
http://purl.obolibrary.org/obo/ENVO_03000138	grain of snow	http://sweetontology.net/matrWater/SnowGrain	SnowGrain	skos:closeMatch	HumanCurated	Candidate Exact match. Placement in SWEET may need revision (mass noun vs countable entity). 																		
http://purl.obolibrary.org/obo/ENVO_01001876	graupel	http://sweetontology.net/phenAtmoPrecipitation/Graupel	Graupel	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term																		
http://purl.obolibrary.org/obo/CHEBI_76413	greenhouse gas	http://sweetontology.net/matr/GreenhouseGas	GreenhouseGas	skos:relatedMatch	HumanCurated	"This mapping is between a role and material entity, important example of semantic clarification provided by more expressive ontology framework, (i.e., there is no material entity that is a greenhouse gas, however certain gasses can bear this greenhouse role). "																		
http://purl.obolibrary.org/obo/ENVO_03400012	hail stone	http://sweetontology.net/phenAtmoPrecipitation/Hail	Hail	skos:relatedMatch	HumanCurated	Within ENVO this is a material within SWEET it's a phenonema which could be either a material or process. This could be separated out better within SWEET. Candidate for close match if the SWEET hierarchy is clarified. 																		
http://purl.obolibrary.org/obo/ENVO_01000880	hailstorm	http://sweetontology.net/phenAtmoPrecipitation/HailStorm	HailStorm	skos:closeMatch	HumanCurated	Candidate Exact match. Depending on SWEET's placement of phenomena.																		
http://purl.obolibrary.org/obo/ENVO_03400004	heavy snowfall	http://sweetontology.net/phenAtmoPrecipitation/HeavySnowfall	HeavySnowfall	skos:closeMatch	HumanCurated	Candidate Exact match. Depending on SWEET's placement of phenomena.																		
