Geonames:A.ADM1	first-order administrative division	ENVO:00000005	first-order administrative region
Geonames:H.GYSR	geyser	ENVO:00000050	geyser
Geonames:H.SPNT	hot spring(s)	ENVO:00000051	hot spring
Geonames:H.LKC	crater lake	ENVO:00000052	crater lake
Geonames:H.LKSC	crater lakes	ENVO:00000052	crater lake
Geonames:H.MRSHN	salt marsh	ENVO:00000054	saline marsh
Geonames:H.MFGN	salt evaporation ponds	ENVO:00000055	saline evaporation pond
Geonames:H.PNDN	salt pond	ENVO:00000055	saline evaporation pond
Geonames:H.PNDSN	salt ponds	ENVO:00000055	saline evaporation pond
Geonames:H.PNDSF	fishponds	ENVO:00000056	fishpond
Geonames:H.MGV	mangrove swamp	ENVO:00000057	mangrove swamp
Geonames:H.LKSB	underground lake	ENVO:00000058	underground lake
Geonames:P.PPL	populated place	ENVO:00000062	populated place
Geonames:P.PPLS	populated places	ENVO:00000062	populated place
Geonames:R		ENVO:00000064	road
Geonames:R.RD	road	ENVO:00000064	road
Geonames:R.ST	street	ENVO:00000064	road
Geonames:R		ENVO:00000065	railway
Geonames:R.RR	railroad	ENVO:00000065	railway
Geonames:R.TNL	tunnel	ENVO:00000066	man-made tunnel
Geonames:R.TNLRD	road tunnel	ENVO:00000066	man-made tunnel
Geonames:R.TNLRR	railroad tunnel	ENVO:00000066	man-made tunnel
Geonames:R.TNLS	tunnels	ENVO:00000066	man-made tunnel
Geonames:S.CAVE	cave(s)	ENVO:00000067	cave
Geonames:R.TNLN	natural tunnel	ENVO:00000068	tunnel
Geonames:H.STMD	distributary(-ies)	ENVO:00000069	distributary
Geonames:H.CNLA	aqueduct	ENVO:00000072	aquaduct
Geonames:S.BLDG	building(s)	ENVO:00000073	building
Geonames:S.DAM	dam	ENVO:00000074	dam
Geonames:S.BDG	bridge	ENVO:00000075	bridge
Geonames:S.MN	mine(s)	ENVO:00000076	mine
Geonames:L.MNA	mining area	ENVO:00000076	mine
Geonames:L.AGRC	agricultural colony	ENVO:00000077	agricultural feature
Geonames:S.NSY	nursery(-ies)	ENVO:00000077	agricultural feature
Geonames:L.RESA	agricultural reserve	ENVO:00000077	agricultural feature
Geonames:S.FRM	farm	ENVO:00000078	farm
Geonames:S.FRMS	farms	ENVO:00000078	farm
Geonames:S.RNCH	ranch(es)	ENVO:00000078	farm
Geonames:T.MT	mountain	ENVO:00000081	mountain
Geonames:T.MTS	mountains	ENVO:00000081	mountain
Geonames:T.HLL	hill	ENVO:00000083	hill
Geonames:T.HLLS	hills	ENVO:00000083	hill
Geonames:T.GAP	gap	ENVO:00000084	mountain pass
Geonames:T.PASS	pass	ENVO:00000084	mountain pass
Geonames:T.SDL	saddle	ENVO:00000084	mountain pass
Geonames:T.PLN	plain(s)	ENVO:00000086	plain
Geonames:T.CLF	cliff(s)	ENVO:00000087	cliff
Geonames:T.BCH	beach	ENVO:00000091	beach
