?x	?xl	?p	?pl	?y	?yl
<http://purl.obolibrary.org/obo/ENVO_01000872>	"balast water"@en	<http://purl.obolibrary.org/obo/RO_0001018>	"contained in"@en	<http://purl.obolibrary.org/obo/ENVO_01000873>	"ballast tank"@en
<http://purl.obolibrary.org/obo/ENVO_01000690>	"mass wasting"@en	<http://purl.obolibrary.org/obo/RO_0000057>	"has participant"@en	<http://purl.obolibrary.org/obo/ENVO_00002000>	"slope"
<http://purl.obolibrary.org/obo/ENVO_01000076>	"marine chemocline"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00001999>	"marine water body"
<http://purl.obolibrary.org/obo/ENVO_01000001>	"mud"	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_01000016>	"silt"
<http://purl.obolibrary.org/obo/ENVO_01000778>	"important site"@en	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_01000254>	"environmental system"
<http://purl.obolibrary.org/obo/ENVO_00002112>	"gold mine drainage"	<http://purl.obolibrary.org/obo/RO_0001000>	"derives from"@en	<http://purl.obolibrary.org/obo/ENVO_00002168>	"gold mine"
<http://purl.obolibrary.org/obo/ENVO_01001001>	"plant-associated environment"@en	<http://purl.obolibrary.org/obo/RO_0002507>	"determined by"	<http://purl.obolibrary.org/obo/NCBITaxon_33090>	"Viridiplantae"
<http://purl.obolibrary.org/obo/ENVO_01000845>	"crystal"@en	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0001411>	"structured"
<http://purl.obolibrary.org/obo/ENVO_00000132>	"ice sheet"	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0000586>	"increased size"
<http://purl.obolibrary.org/obo/ENVO_00002005>	"air"	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/CHEBI_16526>	"carbon dioxide"
<http://purl.obolibrary.org/obo/ENVO_01000019>	"cave floor"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000067>	"cave"
<http://purl.obolibrary.org/obo/ENVO_00000082>	"hill range"	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_00000083>	"hill"
<http://purl.obolibrary.org/obo/ENVO_01000820>	"pedosphere"@en	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/ENVO_00001998>	"soil"
<http://purl.obolibrary.org/obo/ENVO_00003095>	"quinate enriched soil"	<http://purl.obolibrary.org/obo/envo#has_increased_levels_of>		<http://purl.obolibrary.org/obo/CHEBI_26490>	"quinate"
<http://purl.obolibrary.org/obo/ENVO_00000307>	"icefall"	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_00000320>	"crevasse"
<http://purl.obolibrary.org/obo/ENVO_01000707>	"coastal flooding"@en	<http://purl.obolibrary.org/obo/RO_0000057>	"has participant"@en	<http://purl.obolibrary.org/obo/ENVO_01000687>	"coast"@en
<http://purl.obolibrary.org/obo/ENVO_01000552>	"natural gas"@en	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/CHEBI_16183>	"methane"
<http://purl.obolibrary.org/obo/ENVO_01001033>	"digestive tract environment"@en	<http://purl.obolibrary.org/obo/RO_0002507>	"determined by"	<http://purl.obolibrary.org/obo/UBERON_0001555>	"digestive tract"
<http://purl.obolibrary.org/obo/ENVO_02000095>	"uranium ore"	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/CHEBI_33499>	"uranium molecular entity"
<http://purl.obolibrary.org/obo/ENVO_01001087>	"formation of liquid droplets in an atmosphere"@en	<http://purl.obolibrary.org/obo/BFO_0000066>	"occurs in"@en	<http://purl.obolibrary.org/obo/ENVO_01000267>	"atmosphere"
<http://purl.obolibrary.org/obo/ENVO_00000382>	"lake shore"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_00000552>	"talik"	<http://purl.obolibrary.org/obo/ENVO_01001307>	"partially_surrounded_by"	<http://purl.obolibrary.org/obo/ENVO_00000134>	"permafrost"
<http://purl.obolibrary.org/obo/ENVO_01000919>	"ice ablation process"@en	<http://purl.obolibrary.org/obo/BFO_0000066>	"occurs in"@en	<http://purl.obolibrary.org/obo/ENVO_01000914>	"ablation zone"@en
<http://purl.obolibrary.org/obo/ENVO_00000167>	"bar"	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0001199>	"linear"
<http://purl.obolibrary.org/obo/ENVO_01000486>	"building floor"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000073>	"building"
<http://purl.obolibrary.org/obo/ENVO_01000406>	"snow"	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_00002005>	"air"
<http://purl.obolibrary.org/obo/ENVO_00000194>	"scree"	<http://purl.obolibrary.org/obo/RO_0001000>	"derives from"@en	<http://purl.obolibrary.org/obo/ENVO_00001995>	"rock"
<http://purl.obolibrary.org/obo/ENVO_03000048>	"thaw hole"@en	<http://purl.obolibrary.org/obo/RO_0002354>	"formed as result of"@en	<http://purl.obolibrary.org/obo/ENVO_01000721>	"icemelt"@en
<http://purl.obolibrary.org/obo/ENVO_01000400>	"tropical thorn forest"	<http://purl.obolibrary.org/obo/envo#has_condition>	"has_condition"	<http://purl.obolibrary.org/obo/ENVO_01000204>	"tropical"
<http://purl.obolibrary.org/obo/ENVO_01000893>	"area of woody wetland"@en	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_01000324>	"planetary surface"
<http://purl.obolibrary.org/obo/ENVO_01000503>	"burnt-brick exterior wall"	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_01000501>	"burnt brick"
<http://purl.obolibrary.org/obo/ENVO_01000711>	"coastal flood"@en	<http://purl.obolibrary.org/obo/RO_0002354>	"formed as result of"@en	<http://purl.obolibrary.org/obo/ENVO_01000707>	"coastal flooding"@en
<http://purl.obolibrary.org/obo/ENVO_01001041>	"fungi-associated environment"@en	<http://purl.obolibrary.org/obo/RO_0002507>	"determined by"	<http://purl.obolibrary.org/obo/NCBITaxon_4751>	"Fungi"
<http://purl.obolibrary.org/obo/ENVO_03000038>	"cryoconite deposit"@en	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_00002008>	"dust"
<http://purl.obolibrary.org/obo/ENVO_01000383>	"temperate evergreen needleleaf forest"	<http://purl.obolibrary.org/obo/envo#has_condition>	"has_condition"	<http://purl.obolibrary.org/obo/ENVO_01000206>	"temperate"
<http://purl.obolibrary.org/obo/ENVO_00002131>	"epilimnion"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000199>	"meromictic lake"
<http://purl.obolibrary.org/obo/ENVO_01000981>	"mass liquid flow"@en	<http://purl.obolibrary.org/obo/RO_0000057>	"has participant"@en	<http://purl.obolibrary.org/obo/ENVO_01000797>	"gaseous environmental material"@en
<http://purl.obolibrary.org/obo/ENVO_03000067>	"pancake ice"@en	<http://purl.obolibrary.org/obo/RO_0002220>	"adjacent to"@en	<http://purl.obolibrary.org/obo/ENVO_00001999>	"marine water body"
<http://purl.obolibrary.org/obo/ENVO_02000023>	"bile"	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/UBERON_0001970>	"bile"
<http://purl.obolibrary.org/obo/ENVO_01000139>	"animal carcass fall"	<http://purl.obolibrary.org/obo/RO_0002220>	"adjacent to"@en	<http://purl.obolibrary.org/obo/ENVO_00000501>	"bed"
<http://purl.obolibrary.org/obo/ENVO_03000091>	"permafrost methane explosion"@en	<http://purl.obolibrary.org/obo/BFO_0000066>	"occurs in"@en	<http://purl.obolibrary.org/obo/ENVO_00000134>	"permafrost"
<http://purl.obolibrary.org/obo/ENVO_01001105>	"aeolian lake"@en	<http://purl.obolibrary.org/obo/RO_0002354>	"formed as result of"@en	<http://purl.obolibrary.org/obo/ENVO_03000020>	"aeolian transport process"@en
<http://purl.obolibrary.org/obo/ENVO_00000464>	"artificial harbor"	<http://purl.obolibrary.org/obo/RO_0002353>	"output of"@en	<http://purl.obolibrary.org/obo/ENVO_01000996>	"construction process"@en
<http://purl.obolibrary.org/obo/ENVO_01000615>	"motorcycle"@en	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_01000610>	"motor"@en
<http://purl.obolibrary.org/obo/ENVO_01000436>	"waterborne particulate matter"@en	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/ENVO_01000814>	"solid environmental material"@en
<http://purl.obolibrary.org/obo/ENVO_01000558>	"liquefied hydrocarbon gas"@en	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/CHEBI_24632>	"hydrocarbon"
<http://purl.obolibrary.org/obo/ENVO_2100006>	"feather environment"	<http://purl.obolibrary.org/obo/RO_0002507>	"determined by"	<http://purl.obolibrary.org/obo/UBERON_0000022>	"feather"
<http://purl.obolibrary.org/obo/ENVO_00002158>	"ditch water"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000037>	"ditch"
<http://purl.obolibrary.org/obo/ENVO_01000842>	"smog"@en	<http://purl.obolibrary.org/obo/RO_0000087>	"has role"@en	<http://purl.obolibrary.org/obo/CHEBI_78298>	"environmental contaminant"
<http://purl.obolibrary.org/obo/ENVO_2100005>	"face skin environment"	<http://purl.obolibrary.org/obo/RO_0002507>	"determined by"	<http://purl.obolibrary.org/obo/UBERON_1000021>	"skin of face"
<http://purl.obolibrary.org/obo/ENVO_01001085>	"formation of particles in an atmosphere"@en	<http://purl.obolibrary.org/obo/BFO_0000066>	"occurs in"@en	<http://purl.obolibrary.org/obo/ENVO_01000267>	"atmosphere"
<http://purl.obolibrary.org/obo/ENVO_03000037>	"ice ablation zone"@en	<http://purl.obolibrary.org/obo/BFO_0000067>	"contains process"@en	<http://purl.obolibrary.org/obo/ENVO_01000919>	"ice ablation process"@en
<http://purl.obolibrary.org/obo/ENVO_00002228>	"pond water"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000033>	"pond"
<http://purl.obolibrary.org/obo/ENVO_03000066>	"sea ice floe"@en	<http://purl.obolibrary.org/obo/RO_0002354>	"formed as result of"@en	<http://purl.obolibrary.org/obo/ENVO_03000044>	"sea ice formation process"@en
<http://purl.obolibrary.org/obo/ENVO_01000391>	"tropical semi-evergreen moist broadleaf forest"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_01000228>	"tropical moist broadleaf forest biome"
<http://purl.obolibrary.org/obo/ENVO_01000223>	"montane savanna biome"	<http://purl.obolibrary.org/obo/envo#has_condition>	"has_condition"	<http://purl.obolibrary.org/obo/ENVO_01000342>	"montane"
<http://purl.obolibrary.org/obo/ENVO_02500038>	"soil pollution"	<http://purl.obolibrary.org/obo/RO_0002234>	"has output"@en	<http://purl.obolibrary.org/obo/ENVO_00002116>	"contaminated soil"
<http://purl.obolibrary.org/obo/ENVO_02000039>	"synovial fluid"	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/UBERON_0001090>	"synovial fluid"
<http://purl.obolibrary.org/obo/ENVO_01000386>	"temperate deciduous needleleaf forest"	<http://purl.obolibrary.org/obo/envo#has_condition>	"has_condition"	<http://purl.obolibrary.org/obo/ENVO_01000206>	"temperate"
<http://purl.obolibrary.org/obo/ENVO_01000616>	"motorscooter"@en	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_01000610>	"motor"@en
<http://purl.obolibrary.org/obo/ENVO_2100002>	"intestine environment"	<http://purl.obolibrary.org/obo/RO_0002507>	"determined by"	<http://purl.obolibrary.org/obo/UBERON_0000160>	"intestine"
<http://purl.obolibrary.org/obo/ENVO_02500007>	"ecosystem-wide photosynthesis"	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/GO_0015979>	"photosynthesis"
<http://purl.obolibrary.org/obo/ENVO_00000230>	"coastal wetland"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000303>	"sea coast"
<http://purl.obolibrary.org/obo/ENVO_01000471>	"ceiling"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_01000426>	"room"
<http://purl.obolibrary.org/obo/ENVO_00000482>	"sea floor"	<http://purl.obolibrary.org/obo/RO_0002220>	"adjacent to"@en	<http://purl.obolibrary.org/obo/ENVO_00000016>	"sea"
<http://purl.obolibrary.org/obo/ENVO_01001042>	"sterile water environment"@en	<http://purl.obolibrary.org/obo/RO_0002507>	"determined by"	<http://purl.obolibrary.org/obo/ENVO_00005791>	"sterile water"
<http://purl.obolibrary.org/obo/ENVO_01000847>	"hair ice"@en	<http://purl.obolibrary.org/obo/RO_0001025>	"located in"@en	<http://purl.obolibrary.org/obo/ENVO_01000197>	"broadleaf forest biome"
<http://purl.obolibrary.org/obo/ENVO_01000884>	"area of developed space with low usage intensity"@en	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_01000324>	"planetary surface"
<http://purl.obolibrary.org/obo/ENVO_02000103>	"metallic dust"	<http://purl.obolibrary.org/obo/RO_0001000>	"derives from"@en	<http://purl.obolibrary.org/obo/ENVO_01001069>	"metallic material"@en
<http://purl.obolibrary.org/obo/ENVO_00000456>	"tidewater glacier"	<http://purl.obolibrary.org/obo/RO_0002220>	"adjacent to"@en	<http://purl.obolibrary.org/obo/ENVO_00000015>	"ocean"
<http://purl.obolibrary.org/obo/ENVO_01000256>	"mineral material"	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0001546>	"quality of a solid"
<http://purl.obolibrary.org/obo/ENVO_02000035>	"oronasal secretion"	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/UBERON_0000176>	"oronasal secretion"
<http://purl.obolibrary.org/obo/ENVO_03000074>	"grease ice layer"@en	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0000592>	"decreased thickness"
<http://purl.obolibrary.org/obo/ENVO_00005773>	"pasture soil"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000266>	"pasture"
<http://purl.obolibrary.org/obo/ENVO_03000079>	"shuga formation process"@en	<http://purl.obolibrary.org/obo/RO_0002234>	"has output"@en	<http://purl.obolibrary.org/obo/ENVO_03000075>	"shuga"@en
<http://purl.obolibrary.org/obo/ENVO_00002033>	"carcass"	<http://purl.obolibrary.org/obo/RO_0001000>	"derives from"@en	<http://purl.obolibrary.org/obo/UBERON_0001062>	"anatomical entity"
<http://purl.obolibrary.org/obo/ENVO_01000983>	"technosphere"@en	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_00003074>	"manufactured product"
<http://purl.obolibrary.org/obo/ENVO_01000950>	"water ice formation process"@en	<http://purl.obolibrary.org/obo/RO_0002234>	"has output"@en	<http://purl.obolibrary.org/obo/ENVO_01000277>	"water ice"
<http://purl.obolibrary.org/obo/ENVO_02000103>	"metallic dust"	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/ENVO_01001069>	"metallic material"@en
<http://purl.obolibrary.org/obo/ENVO_01000388>	"tropical semi-deciduous broadleaf forest"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_01000200>	"tropical broadleaf forest biome"
<http://purl.obolibrary.org/obo/ENVO_00002130>	"hypolimnion"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000199>	"meromictic lake"
<http://purl.obolibrary.org/obo/ENVO_01000883>	"area of developed open space"@en	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_01000324>	"planetary surface"
<http://purl.obolibrary.org/obo/ENVO_01000605>	"car"@en	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_01000610>	"motor"@en
<http://purl.obolibrary.org/obo/ENVO_00000508>	"terrace"	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_00002000>	"slope"
<http://purl.obolibrary.org/obo/ENVO_01000789>	"flame"@en	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0001547>	"quality of a gas"
<http://purl.obolibrary.org/obo/ENVO_01001012>	"lithometeor"@en	<http://purl.obolibrary.org/obo/RO_0001000>	"derives from"@en	<http://purl.obolibrary.org/obo/ENVO_01001068>	"meteoroid"@en
<http://purl.obolibrary.org/obo/ENVO_03000071>	"first year ice"@en	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0000591>	"increased thickness"
<http://purl.obolibrary.org/obo/ENVO_00000298>	"iceberg"	<http://purl.obolibrary.org/obo/ENVO_01001307>	"partially_surrounded_by"	<http://purl.obolibrary.org/obo/ENVO_00000063>	"water body"
<http://purl.obolibrary.org/obo/ENVO_00000392>	"ice tongue"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000133>	"glacier"
<http://purl.obolibrary.org/obo/ENVO_01000231>	"lava"	<http://purl.obolibrary.org/obo/RO_0001000>	"derives from"@en	<http://purl.obolibrary.org/obo/ENVO_01000648>	"magma"@en
<http://purl.obolibrary.org/obo/ENVO_01000242>	"desert scrubland"	<http://purl.obolibrary.org/obo/envo#has_condition>	"has_condition"	<http://purl.obolibrary.org/obo/ENVO_01000230>	"arid"
<http://purl.obolibrary.org/obo/ENVO_00000016>	"sea"	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_00002149>	"sea water"
<http://purl.obolibrary.org/obo/ENVO_00001998>	"soil"	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_01000017>	"sand"
<http://purl.obolibrary.org/obo/ENVO_01000200>	"tropical broadleaf forest biome"	<http://purl.obolibrary.org/obo/envo#has_condition>	"has_condition"	<http://purl.obolibrary.org/obo/ENVO_01000204>	"tropical"
<http://purl.obolibrary.org/obo/ENVO_03000020>	"aeolian transport process"@en	<http://purl.obolibrary.org/obo/RO_0000057>	"has participant"@en	<http://purl.obolibrary.org/obo/ENVO_00010483>	"environmental material"
<http://purl.obolibrary.org/obo/ENVO_01000834>	"water raindrop"@en	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/ENVO_00002006>	"water"
<http://purl.obolibrary.org/obo/ENVO_01001048>	"sediment environment"@en	<http://purl.obolibrary.org/obo/RO_0002507>	"determined by"	<http://purl.obolibrary.org/obo/ENVO_00002007>	"sediment"
<http://purl.obolibrary.org/obo/ENVO_01000843>	"area of evergreen forest"@en	<http://purl.obolibrary.org/obo/RO_0002220>	"adjacent to"@en	<http://purl.obolibrary.org/obo/ENVO_01000323>	"atmospheric boundary layer"
<http://purl.obolibrary.org/obo/ENVO_03000005>	"erosionally enriched glacial ice"@en	<http://purl.obolibrary.org/obo/RO_0002353>	"output of"@en	<http://purl.obolibrary.org/obo/ENVO_03000006>	"glacial erosion process"@en
<http://purl.obolibrary.org/obo/ENVO_02500003>	"atmospheric process"@en	<http://purl.obolibrary.org/obo/BFO_0000066>	"occurs in"@en	<http://purl.obolibrary.org/obo/ENVO_01000267>	"atmosphere"
<http://purl.obolibrary.org/obo/ENVO_01000792>	"mass gaseous flow"@en	<http://purl.obolibrary.org/obo/RO_0000057>	"has participant"@en	<http://purl.obolibrary.org/obo/ENVO_01000797>	"gaseous environmental material"@en
<http://purl.obolibrary.org/obo/ENVO_09200008>	"composition of soil"	<http://purl.obolibrary.org/obo/RO_0000052>	"inheres in"@en	<http://purl.obolibrary.org/obo/ENVO_00001998>	"soil"
<http://purl.obolibrary.org/obo/ENVO_01001045>	"oceanic subsurface zone"@en	<http://purl.obolibrary.org/obo/RO_0002220>	"adjacent to"@en	<http://purl.obolibrary.org/obo/ENVO_01000635>	"land"@en
<http://purl.obolibrary.org/obo/ENVO_01000861>	"area of dwarf scrub"@en	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_00000300>	"scrubland"
<http://purl.obolibrary.org/obo/ENVO_00002144>	"cave wall"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000067>	"cave"
<http://purl.obolibrary.org/obo/ENVO_01000941>	"planetary subsurface zone"@en	<http://purl.obolibrary.org/obo/RO_0002220>	"adjacent to"@en	<http://purl.obolibrary.org/obo/ENVO_01000324>	"planetary surface"
<http://purl.obolibrary.org/obo/ENVO_00000201>	"fjord lake"	<http://purl.obolibrary.org/obo/RO_0001025>	"located in"@en	<http://purl.obolibrary.org/obo/ENVO_00000039>	"fjord"
<http://purl.obolibrary.org/obo/ENVO_02000124>	"lead paint"	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/CHEBI_33585>	"lead molecular entity"
<http://purl.obolibrary.org/obo/ENVO_00000181>	"nunatak"	<http://purl.obolibrary.org/obo/RO_0002220>	"adjacent to"@en	<http://purl.obolibrary.org/obo/ENVO_00000133>	"glacier"
<http://purl.obolibrary.org/obo/ENVO_01000175>	"woodland biome"	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_00000109>	"woodland"
<http://purl.obolibrary.org/obo/ENVO_01000328>	"dome swamp"	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_00000309>	"depression"
<http://purl.obolibrary.org/obo/ENVO_01000661>	"tuff"@en	<http://purl.obolibrary.org/obo/RO_0002353>	"output of"@en	<http://purl.obolibrary.org/obo/ENVO_01000634>	"volcanic eruption"@en
<http://purl.obolibrary.org/obo/ENVO_1000748>	"island formation process"@en	<http://purl.obolibrary.org/obo/RO_0002234>	"has output"@en	<http://purl.obolibrary.org/obo/ENVO_00000098>	"island"
<http://purl.obolibrary.org/obo/ENVO_01000498>	"pole"	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0002063>	"columnar"
<http://purl.obolibrary.org/obo/ENVO_00002211>	"thermophilic anaerobic methanogenic reactor"	<http://purl.obolibrary.org/obo/BFO_0000067>	"contains process"@en	<http://purl.obolibrary.org/obo/GO_0015948>	"methanogenesis"
<http://purl.obolibrary.org/obo/ENVO_2100000>	"anatomical entity environment"	<http://purl.obolibrary.org/obo/ENVO_2100007>	"determined by part of"	<http://purl.obolibrary.org/obo/UBERON_0001062>	"anatomical entity"
<http://purl.obolibrary.org/obo/ENVO_03000035>	"supraglacial lake"@en	<http://purl.obolibrary.org/obo/RO_0002220>	"adjacent to"@en	<http://purl.obolibrary.org/obo/ENVO_00000133>	"glacier"
<http://purl.obolibrary.org/obo/ENVO_03000050>	"atmosphere-exposed melt pond"@en	<http://purl.obolibrary.org/obo/RO_0002220>	"adjacent to"@en	<http://purl.obolibrary.org/obo/ENVO_01000293>	"ice mass"
<http://purl.obolibrary.org/obo/ENVO_01000414>	"young plant"	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0000309>	"young"
<http://purl.obolibrary.org/obo/ENVO_01000760>	"cloud"@en	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/ENVO_01000836>	"water-based cloud droplet"@en
<http://purl.obolibrary.org/obo/ENVO_00002177>	"1,4-dioxane contaminated sludge"	<http://purl.obolibrary.org/obo/envo#has_increased_levels_of>		<http://purl.obolibrary.org/obo/CHEBI_47032>	"1,4-dioxane"
<http://purl.obolibrary.org/obo/ENVO_01000403>	"tropical mangrove"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_01000181>	"mangrove biome"
<http://purl.obolibrary.org/obo/ENVO_01000216>	"montane shrubland biome"	<http://purl.obolibrary.org/obo/envo#has_condition>	"has_condition"	<http://purl.obolibrary.org/obo/ENVO_01000342>	"montane"
<http://purl.obolibrary.org/obo/ENVO_00005775>	"salt contaminated soil"	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0001657>	"increased osmolarity"
<http://purl.obolibrary.org/obo/ENVO_00000318>	"high tide zone"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000316>	"intertidal zone"
<http://purl.obolibrary.org/obo/ENVO_00000521>	"rockfall"	<http://purl.obolibrary.org/obo/RO_0002354>	"formed as result of"@en	<http://purl.obolibrary.org/obo/ENVO_01001108>	"rockslide process"@en
<http://purl.obolibrary.org/obo/ENVO_03000082>	"thermokarst lake"@en	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_03000085>	"thermokarst"@en
<http://purl.obolibrary.org/obo/ENVO_03000051>	"ice-encased melt pond"@en	<http://purl.obolibrary.org/obo/RO_0001025>	"located in"@en	<http://purl.obolibrary.org/obo/ENVO_01000293>	"ice mass"
<http://purl.obolibrary.org/obo/ENVO_01000732>	"clastic dike"@en	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/ENVO_00002016>	"sedimentary rock"
<http://purl.obolibrary.org/obo/ENVO_01000877>	"atmospheric storm"@en	<http://purl.obolibrary.org/obo/BFO_0000066>	"occurs in"@en	<http://purl.obolibrary.org/obo/ENVO_01000267>	"atmosphere"
<http://purl.obolibrary.org/obo/ENVO_03000041>	"brine channel"@en	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_00003044>	"brine"
<http://purl.obolibrary.org/obo/ENVO_00000369>	"brine pool"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000015>	"ocean"
<http://purl.obolibrary.org/obo/ENVO_01000794>	"stellar wind"@en	<http://purl.obolibrary.org/obo/RO_0000057>	"has participant"@en	<http://purl.obolibrary.org/obo/ENVO_01000801>	"star"@en
