Level	Rule Name	Subject	Property	Value
WARN	duplicate_label_synonym	UBERON:0002506	oboInOwl:hasExactSynonym	iris epithelium
WARN	duplicate_label_synonym	UBERON:0003462	oboInOwl:hasExactSynonym	facial bone
WARN	duplicate_label_synonym	UBERON:0003729	oboInOwl:hasExactSynonym	mouth mucosa
WARN	duplicate_label_synonym	UBERON:0004140	oboInOwl:hasExactSynonym	primary heart field
WARN	duplicate_label_synonym	UBERON:0004731	oboInOwl:hasExactSynonym	neuromere
WARN	duplicate_label_synonym	UBERON:0005498	oboInOwl:hasExactSynonym	primitive heart tube
WARN	duplicate_label_synonym	UBERON:0006904	oboInOwl:hasExactSynonym	head mesenchyme from mesoderm
WARN	duplicate_label_synonym	UBERON:0007651	oboInOwl:hasExactSynonym	anatomical junction
WARN	duplicate_label_synonym	UBERON:0009676	oboInOwl:hasExactSynonym	early telencephalic vesicle
WARN	duplicate_label_synonym	UBERON:0010427	oboInOwl:hasExactSynonym	ciliary processes
WARN	duplicate_label_synonym	UBERON:0011156	oboInOwl:hasExactSynonym	facial skeleton
WARN	duplicate_label_synonym	UBERON:0013685	oboInOwl:hasExactSynonym	foramen of skull
WARN	duplicate_label_synonym	UBERON:0014477	oboInOwl:hasExactSynonym	thoracic skeleton
WARN	duplicate_scoped_synonym	CHEBI:18248	oboInOwl:hasExactSynonym	iron
WARN	duplicate_scoped_synonym	CHEBI:18248	oboInOwl:hasRelatedSynonym	iron
WARN	duplicate_scoped_synonym	CHEBI:25555	oboInOwl:hasExactSynonym	nitrogen
WARN	duplicate_scoped_synonym	CHEBI:25555	oboInOwl:hasRelatedSynonym	nitrogen
WARN	duplicate_scoped_synonym	CHEBI:25585	oboInOwl:hasExactSynonym	nonmetal
WARN	duplicate_scoped_synonym	CHEBI:25585	oboInOwl:hasRelatedSynonym	nonmetal
WARN	duplicate_scoped_synonym	CHEBI:26020	oboInOwl:hasExactSynonym	phosphates
WARN	duplicate_scoped_synonym	CHEBI:26020	oboInOwl:hasRelatedSynonym	phosphates
WARN	duplicate_scoped_synonym	CHEBI:26833	oboInOwl:hasExactSynonym	sulfur
WARN	duplicate_scoped_synonym	CHEBI:26833	oboInOwl:hasRelatedSynonym	sulfur
WARN	duplicate_scoped_synonym	CHEBI:27081	oboInOwl:hasExactSynonym	transition element
WARN	duplicate_scoped_synonym	CHEBI:27081	oboInOwl:hasRelatedSynonym	transition element
WARN	duplicate_scoped_synonym	CHEBI:27594	oboInOwl:hasExactSynonym	carbon
WARN	duplicate_scoped_synonym	CHEBI:27594	oboInOwl:hasRelatedSynonym	carbon
WARN	duplicate_scoped_synonym	CHEBI:28659	oboInOwl:hasExactSynonym	phosphorus
WARN	duplicate_scoped_synonym	CHEBI:28659	oboInOwl:hasRelatedSynonym	phosphorus
WARN	duplicate_scoped_synonym	CHEBI:50313	oboInOwl:hasExactSynonym	onium cations
WARN	duplicate_scoped_synonym	CHEBI:50313	oboInOwl:hasRelatedSynonym	onium cations
WARN	duplicate_scoped_synonym	ENVO:00000029	oboInOwl:hasNarrowSynonym	narrows
WARN	duplicate_scoped_synonym	ENVO:00000029	oboInOwl:hasRelatedSynonym	narrows
WARN	duplicate_scoped_synonym	ENVO:00000033	oboInOwl:hasNarrowSynonym	pool (water body)
WARN	duplicate_scoped_synonym	ENVO:00000033	oboInOwl:hasRelatedSynonym	pool (water body)
WARN	duplicate_scoped_synonym	ENVO:00000054	oboInOwl:hasExactSynonym	salt marsh
WARN	duplicate_scoped_synonym	ENVO:00000054	oboInOwl:hasRelatedSynonym	salt marsh
WARN	duplicate_scoped_synonym	ENVO:00000084	oboInOwl:hasExactSynonym	pass
WARN	duplicate_scoped_synonym	ENVO:00000084	oboInOwl:hasRelatedSynonym	pass
WARN	duplicate_scoped_synonym	ENVO:00000146	oboInOwl:hasExactSynonym	snowfield
WARN	duplicate_scoped_synonym	ENVO:00000146	oboInOwl:hasRelatedSynonym	snowfield
WARN	duplicate_scoped_synonym	ENVO:00000192	oboInOwl:hasExactSynonym	mud flat
WARN	duplicate_scoped_synonym	ENVO:00000192	oboInOwl:hasRelatedSynonym	mud flat
WARN	duplicate_scoped_synonym	ENVO:00000234	oboInOwl:hasBroadSynonym	lake
WARN	duplicate_scoped_synonym	ENVO:00000234	oboInOwl:hasRelatedSynonym	lake
WARN	duplicate_scoped_synonym	ENVO:00000264	oboInOwl:hasBroadSynonym	mount
WARN	duplicate_scoped_synonym	ENVO:00000264	oboInOwl:hasRelatedSynonym	mount
WARN	duplicate_scoped_synonym	ENVO:00000292	oboInOwl:hasExactSynonym	divide
WARN	duplicate_scoped_synonym	ENVO:00000292	oboInOwl:hasRelatedSynonym	divide
WARN	duplicate_scoped_synonym	ENVO:00000342	oboInOwl:hasExactSynonym	icecap dome
WARN	duplicate_scoped_synonym	ENVO:00000342	oboInOwl:hasNarrowSynonym	icecap dome
WARN	duplicate_scoped_synonym	ENVO:00000444	oboInOwl:hasExactSynonym	clearing
WARN	duplicate_scoped_synonym	ENVO:00000444	oboInOwl:hasRelatedSynonym	clearing
WARN	duplicate_scoped_synonym	ENVO:00000482	oboInOwl:hasExactSynonym	ocean floor@en
WARN	duplicate_scoped_synonym	ENVO:00000482	oboInOwl:hasRelatedSynonym	ocean floor@en
WARN	duplicate_scoped_synonym	ENVO:00000504	oboInOwl:hasExactSynonym	intermittent pool
WARN	duplicate_scoped_synonym	ENVO:00000504	oboInOwl:hasNarrowSynonym	intermittent pool
WARN	duplicate_scoped_synonym	ENVO:00000504	oboInOwl:hasRelatedSynonym	intermittent pool
WARN	duplicate_scoped_synonym	ENVO:00000508	oboInOwl:hasNarrowSynonym	bench
WARN	duplicate_scoped_synonym	ENVO:00000508	oboInOwl:hasRelatedSynonym	bench
WARN	duplicate_scoped_synonym	ENVO:00000517	oboInOwl:hasBroadSynonym	lost river
WARN	duplicate_scoped_synonym	ENVO:00000517	oboInOwl:hasNarrowSynonym	lost river
WARN	duplicate_scoped_synonym	ENVO:00000531	oboInOwl:hasExactSynonym	icecap depression
WARN	duplicate_scoped_synonym	ENVO:00000531	oboInOwl:hasRelatedSynonym	icecap depression
WARN	duplicate_scoped_synonym	ENVO:00000539	oboInOwl:hasBroadSynonym	sill
WARN	duplicate_scoped_synonym	ENVO:00000539	oboInOwl:hasRelatedSynonym	sill
WARN	duplicate_scoped_synonym	ENVO:00000547	oboInOwl:hasExactSynonym	water hole
WARN	duplicate_scoped_synonym	ENVO:00000547	oboInOwl:hasRelatedSynonym	water hole
WARN	duplicate_scoped_synonym	ENVO:01000547	oboInOwl:hasBroadSynonym	glaze
WARN	duplicate_scoped_synonym	ENVO:01000547	oboInOwl:hasRelatedSynonym	glaze
WARN	duplicate_scoped_synonym	NCBITaxon:2759	oboInOwl:hasExactSynonym	eukaryotes
WARN	duplicate_scoped_synonym	NCBITaxon:2759	oboInOwl:hasRelatedSynonym	eukaryotes
WARN	duplicate_scoped_synonym	NCBITaxon:2836	oboInOwl:hasExactSynonym	diatoms
WARN	duplicate_scoped_synonym	NCBITaxon:2836	oboInOwl:hasRelatedSynonym	diatoms
WARN	duplicate_scoped_synonym	NCBITaxon:2864	oboInOwl:hasExactSynonym	dinoflagellates
WARN	duplicate_scoped_synonym	NCBITaxon:2864	oboInOwl:hasRelatedSynonym	dinoflagellates
WARN	duplicate_scoped_synonym	NCBITaxon:3193	oboInOwl:hasExactSynonym	land plants
WARN	duplicate_scoped_synonym	NCBITaxon:3193	oboInOwl:hasRelatedSynonym	land plants
WARN	duplicate_scoped_synonym	NCBITaxon:33090	oboInOwl:hasExactSynonym	green plants
WARN	duplicate_scoped_synonym	NCBITaxon:33090	oboInOwl:hasRelatedSynonym	green plants
WARN	duplicate_scoped_synonym	NCBITaxon:3398	oboInOwl:hasExactSynonym	flowering plants
