?label	?subset	?definition	?URI
"water-based rainfall"	"envoPolar"	"A hydrological precipitation process in which atmospheric water vapour condenses to form droplets of liquid water massive enough to fall to a planetary surface due to the planet's gravity."	"http://purl.obolibrary.org/obo/ENVO_01000830"
"rubbish landslide"	"environmental_hazards"	"A mass wasting process during which refuse from human activities, usually accumulated at a dumping site, falls down a slope under the force of gravity."	"http://purl.obolibrary.org/obo/ENVO_01000916"
"area of sedge- and forb-dominated herbaceous vegetation"	"nlcd2011"	"An area of a planet's surface which is primarily covered by sedges or forbs, possibly interpersed with grasses or grass-like plants. This area is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	"http://purl.obolibrary.org/obo/ENVO_01000887"
"glaciation of water droplets in a cloud"	"envoAtmo"	"A process during which supercooled water droplets in a cloud freeze into ice crystals."	"http://purl.obolibrary.org/obo/ENVO_01001640"
"polar stratospheric cloud"	"envoPolar"	"Polar stratospheric clouds are clouds which form in the winter polar stratosphere at altitudes of 15,000–25,000 metres and which support chemical reactions that produce active chlorine and remove gaseous nitric acid, catalysing ozone destruction."	"http://purl.obolibrary.org/obo/ENVO_01000761"
"polar mountain"	"envoPolar"	"A mountain that is part of a polar environment."	"http://purl.obolibrary.org/obo/ENVO_01001454"
"phyllome"	"http://purl.obolibrary.org/obo/po#reference"	"A lateral plant organ (PO:0009008) produced by a shoot apical meristem (PO:0020148)."	"http://purl.obolibrary.org/obo/PO_0006001"
"soil pollution"	"environmental_hazards"	"A pollution process during which contaminants are released into soil."	"http://purl.obolibrary.org/obo/ENVO_02500038"
"area of dwarf scrub"	"nlcd2011"	"An area of a planet's surface which is partly covered by shrubs with ground-hugging stems or low growth habit, in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	"http://purl.obolibrary.org/obo/ENVO_01000861"
"light emitted by lightning"	"envoAtmo"	"A photometeor which is formed as a result of sudden electrostatic discharge in the atmosphere."	"http://purl.obolibrary.org/obo/ENVO_01001011"
"area of attached Modiolus assemblages"	"envoMarine"	"An area which is dominated by dense accumulations of mussels, of the genus Modiolus, attached to a substrate other than conspecifics, including the associated faunal communities and predators present on the mussels (e.g., starfish)."	"http://purl.obolibrary.org/obo/ENVO_01001383"
"rift zone"	"envoPolar"	"A compound astronomical body part in which extensional tectonic processes occur and where the lithosphere is being pulled apart."	"http://purl.obolibrary.org/obo/ENVO_01001104"
"icestorm"	"envoAtmo"	"An atmospheric storm during which freezing rain falls and accumulates as ice on exposed surfaces."	"http://purl.obolibrary.org/obo/ENVO_01000882"
"melting"	"envoPolar"	"Melting is a material transformation process which results in the phase transition of a substance from a solid to a liquid."	"http://purl.obolibrary.org/obo/ENVO_01000723"
"nilas formation process"	"envoPolar"	"A sea ice formation process during which new ice crystals freeze together, forming nilas, a thin, elastic, continuous, ice sheet of a transparent gray color."	"http://purl.obolibrary.org/obo/ENVO_03000058"
"asteroid"	"envoAstro"		"http://purl.obolibrary.org/obo/ENVO_01000803"
"temperate marine upwelling biome"	"wwfBiome"	"A marine upwelling biome which is located in a region subject to temperate climate patterns."	"http://purl.obolibrary.org/obo/ENVO_01000860"
"circumbinary planet"	"envoAstro"	"A planet which orbits two stars."	"http://purl.obolibrary.org/obo/ENVO_01001153"
"lake layer"	"envoPolar"	"A layer which is part of a lake."	"http://purl.obolibrary.org/obo/ENVO_01000283"
"chemocline"	"envoPolar"	"A cline across which the chemical composition of a fluid changes rapidly."	"http://purl.obolibrary.org/obo/ENVO_00002270"
"carbon sequestration process"	"envoNceas"	"A material accumulation process during which atmospheric carbon dioxide is captured and stored."	"http://purl.obolibrary.org/obo/ENVO_04000015"
"estuarine coastal upper water column"	"envoCmecs"	"A layer of estuarine water which extends from the surface of the water column to the pycnocline or mid-depth and from the shore to a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters."	"http://purl.obolibrary.org/obo/ENVO_01001312"
"entanglement of organisms in marine debris"	"envoPlastics"	"An entanglement process during which organisms become entrapped in anthropogenic marine debris."	"http://purl.obolibrary.org/obo/ENVO_06105121"
"portion of plant tissue"	"http://purl.obolibrary.org/obo/po#TraitNet"	"A plant structure (PO:0009011) that consists predominantly of similarly specialized plant cells (PO:0009002) of one or more types."	"http://purl.obolibrary.org/obo/PO_0009007"
"non-saline sediment environment"	"envoOmics"	"An environmental system which has its properties and dynamics determined by sediment permeated by non-saline water."	"http://purl.obolibrary.org/obo/ENVO_01001049"
"glacial ice calving process"	"envoPolar"	"A process during which a part of a glacier breaks away from the main mass."	"http://purl.obolibrary.org/obo/ENVO_03000030"
"whole plant development stage"	"http://purl.obolibrary.org/obo/po#TraitNet"	"A plant structure development stage (PO:0009012) that has as primary participant a whole plant (PO:0000003)."	"http://purl.obolibrary.org/obo/PO_0007033"
"non-saline environment"	"envoEmpo"		"http://purl.obolibrary.org/obo/ENVO_01001003"
"nitrate-reducing sediment"	"envoPolar"	"Sediment hosting and characterised by active nitrate reducing microbial communities."	"http://purl.obolibrary.org/obo/ENVO_01000135"
"methanogenesis"	"envoPolar"		"http://purl.obolibrary.org/obo/GO_0015948"
"perennial snow patch"	"envoPolar"	"A snow patch which persists through at least one seasonal cycle."	"http://purl.obolibrary.org/obo/ENVO_03000115"
"freezing rainfall"	"environmental_hazards"	"Water-based rainfall which freezes either 1) on impact with a surface to form a coating of clear ice (glaze) or 2) after percolating through surface layers."	"http://purl.obolibrary.org/obo/ENVO_01000896"
"plastisphere"	"envoPlastics"	"A part of an astronomical body which includes, as parts, all the entities which are composed primarily of plastic and which are within the gravitational sphere of influence of that body."	"http://purl.obolibrary.org/obo/ENVO_06105106"
"calving of ice from an iceberg"	"envoPolar"	"A process during which a part of an iceberg breaks away from the main mass."	"http://purl.obolibrary.org/obo/ENVO_03000032"
"tundra biome"	"envoPolar"	"A tundra ecosystem which is undergoing climactic ecological succession."	"http://purl.obolibrary.org/obo/ENVO_01000180"
"carbon dioxide ice"	"envoAstro"	"Ice which is primarily composed of carbon dioxide."	"http://purl.obolibrary.org/obo/ENVO_01001138"
"root"	"http://purl.obolibrary.org/obo/po#Rice"	"A plant axis (PO:0025004) that lacks shoot axis nodes (PO:0005004) and usually grows indeterminately."	"http://purl.obolibrary.org/obo/PO_0009005"
"hadalpelagic zone"	"envoMarine"	"The zone of an ocean in oceanic trenches, lying between 6000m and 10,000m."	"http://purl.obolibrary.org/obo/ENVO_00000214"
"soil"	"http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC"	"An environmental material which is primarily composed of minerals, varying proportions of sand, silt, and clay, organic material such as humus, interstitial gases, liquids, and a broad range of resident micro- and macroorganisms."	"http://purl.obolibrary.org/obo/ENVO_00001998"
"frost-formed hummock"	"envoPolar"	"A hummock which is primarily composed of soil that has been pushed up by frost action."	"http://purl.obolibrary.org/obo/ENVO_01001538"
"snowmelt"	"envoPolar"	"Snowmelt is a hydrological melting process in which water is produced by the melting of snow and becomes part of the hydrological surface runoff."	"http://purl.obolibrary.org/obo/ENVO_01000719"
"slab snow"	"envoPolar"	"Snow which is cohesive, hard and overlies weaker snow."	"http://purl.obolibrary.org/obo/ENVO_03000108"
"whole plant"	"http://purl.obolibrary.org/obo/po#TraitNet"	"A plant structure (PO:0005679) which is a whole organism."	"http://purl.obolibrary.org/obo/PO_0000003"
"season generating process"	"envoPolar"	"A process during which the intesity of stellar radiation received by a planet's surface varies in a cyclical regime due to the planet's orbital motion around the barycentre of a planetary system and/or the tilt of its rotational axis relative to its orbital plane."	"http://purl.obolibrary.org/obo/ENVO_03000095"
"freezing rain"	"envoCryo"	"Water-based rain which is composed of supercooled water droplets, which freeze on contact with surfaces."	"http://purl.obolibrary.org/obo/ENVO_03400010"
"area of lichen-dominated vegetation"	"nlcd2011"	"An area of a planet's surface which is primarily covered by fruticose or foliose lichens and which is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	"http://purl.obolibrary.org/obo/ENVO_01000889"
"area of ice cover"	"envoPolar"	"An environmental zone which is covered or partially covered by ice."	"http://purl.obolibrary.org/obo/ENVO_03400016"
"hydrodynamic escape"	"envoAstro"	"An atmospheric escape process during which atoms that are parts of a planetary atmosphere escape into outer space through numerous collisions with lighter atoms in that atmosphere."	"http://purl.obolibrary.org/obo/ENVO_01001158"
"alpine tundra biome"	"envoPolar"	"A tundra biome which exists at high altitudes and where vegetation - dominated by a few species of dwarf shrubs, a few grasses, sedges, lichens, and mosses - is stunted due to low temperatures and high winds."	"http://purl.obolibrary.org/obo/ENVO_01001505"
"atmospheric wind"	"envoPolar"		"http://purl.obolibrary.org/obo/ENVO_01000793"
"ocean surface stress"	"envoEOVs"	"A rate which inheres in an atmosphere-ocean momentum transfer process."	"http://purl.obolibrary.org/obo/ENVO_01001844"
"fossil material"	"http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC"	"A solid environmental material which is formed by the replacement of organic substances (including those in soils and sediments) with mineral material."	"http://purl.obolibrary.org/obo/ENVO_00002164"
"tropical storm"	"envoAtmo"	"A an atmospheric storm which originates over tropical or subtropical waters and possesses a warm-core, non-frontal synoptic-scale cyclone with a low pressure centre, spiral rain bands and strong winds."	"http://purl.obolibrary.org/obo/ENVO_01001296"
"continental shelf"	"envoPolar"	"A slope which a) extends the perimeter of a continent, b) is covered by a shallow marine water body during interglacial periods, c) has a low degree of steepness relative to a continental slope or rise."	"http://purl.obolibrary.org/obo/ENVO_00000223"
"neutral occluded front"	"envoAtmo"	"An occluded front which is 1) adjacent to a cold and a warm front with no appreciable difference between the temperatures of their bordering air masses and 2) which creates a pressure trough, a wind-shift line, a band of cloudiness, and precipitation at the surface of the astronomical body."	"http://purl.obolibrary.org/obo/ENVO_01001717"
"planetary wind"	"envoPolar"		"http://purl.obolibrary.org/obo/ENVO_01000795"
"mudflow"	"environmental_hazards"	"A mudflow is a form of mass wasting which involves very rapid to extremely rapid surging flow of debris that has become partially or fully liquified by the addition of significant amounts of water to clay-rich source material."	"http://purl.obolibrary.org/obo/ENVO_01000697"
"nitrogen-oxygen planetary atmosphere"	"envoPolar"	"A planetary atmosphere which is composted primarily of dinitrogen and dioxygen gas."	"http://purl.obolibrary.org/obo/ENVO_01000811"
"shallow marine sediment"	"envoPolar"	"Marine sediment soured from either terrestrial systems, marine organisms, seawater and or cosmogeneous sources, which is transported through the marine water column, and accumulates within shallow regions of the oceanic basin close to continents, such as the continental shelf, or continental slope."	"http://purl.obolibrary.org/obo/ENVO_03000034"
"arete"	"envoCryo"	"A ridge which is jagged, narrow and separates glacier valleys or cirques."	"http://purl.obolibrary.org/obo/ENVO_00000429"
"ice loss process"	"envoPolar"	"A material decumulation process during which the mass of an existing ice mass decreases in size."	"http://purl.obolibrary.org/obo/ENVO_01000915"
"anafront"	"envoAtmo"	"A weather front at which warm air is ascending to high altitudes along the frontal surface."	"http://purl.obolibrary.org/obo/ENVO_01001708"
"protoplanetary disk"	"envoAstro"	"An astronomical object which is composed of dense gas and dust rotating around a young newly formed star, a T Tauri star, or a Herbig Ae/Be star in a disk-shaped configuration."	"http://purl.obolibrary.org/obo/ENVO_01001150"
"aerosolised particle formation event"	"envoAtmo"	"An aerosol formation process during which the rate of particle formation exceeds that which is normally present in the site of its occurrence."	"http://purl.obolibrary.org/obo/ENVO_01001372"
"freshwater environment"	"envoOmics"	"An aquatic environment which is determined by freshwater."	"http://purl.obolibrary.org/obo/ENVO_01000306"
"mediterranean forest biome"	"wwfBiome"	"A mediterranean forest in which dominant ecological communities have reached their climax successional state."	"http://purl.obolibrary.org/obo/ENVO_01000199"
"brine channel"	"envoPolar"	"A channel through which brine flows."	"http://purl.obolibrary.org/obo/ENVO_03000041"
"piece of plastic foam"	"envoPlastics"	"A piece of plastic which has a matrix- or sponge-like structure with numerous, hollow internal spaces."	"http://purl.obolibrary.org/obo/ENVO_06105006"
"isthmus"	"envoPolar"	"Narrow section of land in a body of water connecting two larger land areas."	"http://purl.obolibrary.org/obo/ENVO_00000174"
"channel of an intermittent river"	"envoCesab"	"A channel of an intermittent stream which contains a river when water supply exceeds evapotranspiration and bed seepage."	"http://purl.obolibrary.org/obo/ENVO_01000979"
"precipitation of sleet"	"envoPolar"	"A hydrological precipitation process during which water falls in both liquid and frozen form."	"http://purl.obolibrary.org/obo/ENVO_03400014"
"landfill"	"envoPlastics"	"A depression which contains objects and materials discarded by humans or their technologies."	"http://purl.obolibrary.org/obo/ENVO_00000533"
"area of open water"	"envoPolar"	"An area of a planet's surface which is primarily composed of water in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	"http://purl.obolibrary.org/obo/ENVO_01000666"
"root"	"http://purl.obolibrary.org/obo/po#reference"	"A plant axis (PO:0025004) that lacks shoot axis nodes (PO:0005004) and usually grows indeterminately."	"http://purl.obolibrary.org/obo/PO_0009005"
"glacial erosion process"	"envoPolar"	"An erosion process during which the movement of a glacier across a terrestrial surface causes the removal of material from that surface."	"http://purl.obolibrary.org/obo/ENVO_03000006"
"aeroform"	"envoAtmo"	"A part of an astronomical body which is primarily composed of a continuous volume of gaseous or aerosolised material held in shape by one or more environmental processes."	"http://purl.obolibrary.org/obo/ENVO_01000755"
"foamed plastic"	"envoPlastics"	"A plastic which has a matrix- or sponge-like structure with numerous, hollow internal spaces."	"http://purl.obolibrary.org/obo/ENVO_06105016"
"particulate environmental material"	"envoPolar"	"An environmental material which is composed primarily of particles."	"http://purl.obolibrary.org/obo/ENVO_01000060"
"single strain cell culture"	"envoEmpo"	"A cell culture which is composed of a single population of bacterial or archaeal cells."	"http://purl.obolibrary.org/obo/ENVO_01001060"
"microplastic particle"	"envoPlastics"	"A piece of plastic which has a diameter less than five millimetres."	"http://purl.obolibrary.org/obo/ENVO_01000944"
"temperate coniferous forest biome"	"wwfBiome"	"A coniferous forest biome which is subject to temperate climate patterns."	"http://purl.obolibrary.org/obo/ENVO_01000211"
"extra-tropical cyclone"	"environmental_hazards"	"A warm-core cyclone which occurs in the middle and high latitudes, primarily drawing energy from horizontal temperature contrasts between atmospheric fronts."	"http://purl.obolibrary.org/obo/ENVO_01001295"
"waste disposal process"	"envoPlastics"	"A process during which materials deemed to be waste are transported away from a site."	"http://purl.obolibrary.org/obo/ENVO_01001260"
"WMO blizzard"	"envoCryo"	"A blizzard which 1) lasts at least 3 hours, 2) combines below freezing temperatures and very strong wind, laden with blowing snow."	"http://purl.obolibrary.org/obo/ENVO_03000134"
"cirrus cloud"	"envoCloudAtlas"	"A cloud which 1) has been shaped into detached fibrous filaments, 2) is almost exclusively composed of ice crystals, 3) is located in the high level of the atmosphere (high étage)."	"http://purl.obolibrary.org/obo/ENVO_01001160"
"oceanic mussel reef"	"envoCmecs"	"A marine reef which is present in the depths beyond (offshore relative to) the continental shelf and primarily composed of self-adhered or conglomerated mussel shells."	"http://purl.obolibrary.org/obo/ENVO_01001381"
"cirrus uncinus cloud"	"envoAtmo"	"A cirrus cloud which does not have grey parts and which is often shaped like a comma, terminating at its highest point in a hook, or in a tuft, the upper part of which is not in the form of a rounded protuberance."	"http://purl.obolibrary.org/obo/ENVO_01001421"
"hail"	"envoPolar"	"Precipitation which is composed primarily of hail stones."	"http://purl.obolibrary.org/obo/ENVO_03400011"
"shoot axis"	"http://purl.obolibrary.org/obo/po#Rice"	"A plant axis (PO:0025004) that is part of a shoot system (PO:0009006)."	"http://purl.obolibrary.org/obo/PO_0025029"
"tropical savanna biome"	"wwfBiome"	"A savanna biome which is subject to tropical climate patterns."	"http://purl.obolibrary.org/obo/ENVO_01000188"
"area of attached mussel assemblages"	"envoMarine"	"An area which is dominated by dense accumulations of mussels attached to a substrate other than conspecifics, including the associated faunal communities and predators present on the mussels (e.g., starfish)."	"http://purl.obolibrary.org/obo/ENVO_01001382"
"estuarine tidal riverine open water lower water column"	"envoMarine"	"A layer of fresh estuarine water which extends from an estuarine pycnocline or mid-depth to the estuary bed and from a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters to end of the estuary most distal from the coast."	"http://purl.obolibrary.org/obo/ENVO_01001329"
"environment determined by a plant substance"	"envoOmics"	"An environmental system which has its properties and dynamics determined by a substance produced by a plant."	"http://purl.obolibrary.org/obo/ENVO_01001031"
"snow mass"	"envoPolar"	"A mass of snow."	"http://purl.obolibrary.org/obo/ENVO_03000111"
"adsorption"	"envoPlastics"	"A material accumulation process during which material adheres to a solid or liquid surface."	"http://purl.obolibrary.org/obo/ENVO_06105021"
"dioxygen dissolved in marine water"	"envoEOVs"	"Dioxygen which is the solute in a solution with ocean water as its solvent."	"http://purl.obolibrary.org/obo/ENVO_01001495"
"ocean strait"	"envoPolar"	"An ocean strait is a strait which connects two oceans."	"http://purl.obolibrary.org/obo/ENVO_01000651"
"xeric basin biome"	"wwfBiome"	"A biome which has little permanent surface water and a low relative abundance of springs."	"http://purl.obolibrary.org/obo/ENVO_00000893"
"tundra climate"	"envoCryo"	"A climate which 1) has a mean temperature for the warmest month of less than 10°C (50°F), but higher than 0°C (32°F), 2) is not conducive to a permanent surficial cover of snow or ice, and 3) supports a tundra ecosystem."	"http://purl.obolibrary.org/obo/ENVO_03000140"
"marine pelagic zone"	"envoPolar"	"An open ocean region."	"http://purl.obolibrary.org/obo/ENVO_00000208"
"erosion through nivation"	"envoPolar"	"An erosion process during which rock or soil is removed or degraded due to alternative thawing and freezing of meltwater beneath and at the margins of snowbanks."	"http://purl.obolibrary.org/obo/ENVO_03000121"
"carbon cycling"	"envoPolar"	"A biogeochemical cycle which has carbon-bearing chemical entities as participants."	"http://purl.obolibrary.org/obo/ENVO_02500010"
"hailfall"	"envoPolar"	"A hydrological process during which hail stones fall to the surface of an astronomical body."	"http://purl.obolibrary.org/obo/ENVO_01000874"
"nival"	"envoPolar"	"An altitudinal condition which inheres in a bearer by virtue of the bearer having extremely limited vegetation cover, silica-enriched soils, and ground cover dominated by snow and ice at altitudes above the snowline."	"http://purl.obolibrary.org/obo/ENVO_01000344"
"polar"	"envoPolar"	"A polar condition is an environmental condition in which an environmental system receives low, yearly solar irradiance per unit area, resulting in colder climatic conditions."	"http://purl.obolibrary.org/obo/ENVO_01000238"
"katabatic wind"	"envoAtmo"	"An atmospheric wind during which cold atmospheric gas flows downwards towards the surface of an astronomical body."	"http://purl.obolibrary.org/obo/ENVO_01001719"
"cumulonimbus cloud"	"envoAtmo"	"A cloud which 1) has been shaped into dense, mountain-like forms or one or more tower-like forms with a flattened upper portion, which often spreads out in the shape of an anvil or plume, 2) is composed of water droplets and, especially in its upper portion, ice crystals, 3) is located in the low level of the atmosphere (low étage), but can extend into the middle and high level of the atmosphere."	"http://purl.obolibrary.org/obo/ENVO_01001419"
"alpine glacier"	"envoPolar"	"A glacier contained in the site of a mountain valley."	"http://purl.obolibrary.org/obo/ENVO_00000085"
"cirrostratus fibratus cloud"	"envoAtmo"	"A cirrostratus cloud which occurs as a detached unit or a thin veil and consists of nearly straight or irregularly curved filaments that do not terminate in hooks or tufts."	"http://purl.obolibrary.org/obo/ENVO_01001423"
"nitrogen cycling"	"envoPolar"	"A biogeochemical cycle which has nitrogen-bearing chemical entities as participants."	"http://purl.obolibrary.org/obo/ENVO_01001330"
"environment determined by a biofilm on a plant surface"	"envoMeo"	"An environmental system which has its properties and dynamics determined by a biofilm on the surface of a plant."	"http://purl.obolibrary.org/obo/ENVO_01001032"
"fall wind"	"envoAtmo"	"A katabatic wind during which the low temperature and increased density of a cold mass of atmospheric gas accelerates its descent."	"http://purl.obolibrary.org/obo/ENVO_01001726"
"super-Jupiter"	"envoAstro"	"An astronomical object which is more massive than the planet Jupiter."	"http://purl.obolibrary.org/obo/ENVO_01001129"
"algal bloom process"	"envoPolar"	"A process during which the populations in a community of algae in a marine or freshwater ecosystem undergo rapid growth, resulting in high concentrations of algal cells that occur only periodically and briefly in that ecosystem, relative to their concentrations through the majority of the planetary orbital period."	"http://purl.obolibrary.org/obo/ENVO_02500018"
"brine"	"envoPolar"	"Water saturated or nearly saturated with salt (NaCl)."	"http://purl.obolibrary.org/obo/ENVO_00003044"
"blizzard"	"environmental_hazards"	"A blizzard is a severe snowstorm during which snowfall is transported by strong winds, sustained for several hours."	"http://purl.obolibrary.org/obo/ENVO_01000903"
"estuarine tidal riverine open water pycnocline"	"envoMarine"	"An estuarine open water pycnocline which is composed primarily of fresh tidal water."	"http://purl.obolibrary.org/obo/ENVO_01001328"
"englacial stream"	"envoPolar"	"A stream which is primarily composed of meltwater and which flows within a glacier or ice sheet."	"http://purl.obolibrary.org/obo/ENVO_03000018"
"new ice formation process"	"envoPolar"	"An ice formation process during which water is frozen into a form of new ice such as frazil, grease ice, slush, or shuga."	"http://purl.obolibrary.org/obo/ENVO_03000056"
"cirrostratus cloud"	"envoCloudAtlas"	"A cloud which 1) occurs in the form of a smooth or fibrous veil, 2) is composed of few small ice crystals, 3) is located in the high level of the atmosphere (high étage)."	"http://purl.obolibrary.org/obo/ENVO_01001408"
"marine environment"	"envoPolar"	"A marine environment and enviroment which is determined by a marine water body."	"http://purl.obolibrary.org/obo/ENVO_01000320"
"environment associated with a fungal tissue"	"envoMeo"	"An environmental system determined by part of a living or dead fungus."	"http://purl.obolibrary.org/obo/ENVO_01001058"
"falling snow"	"envoCryo"	"An object aggregate which is composed primarily of snow falling through an atmosphere."	"http://purl.obolibrary.org/obo/ENVO_03400013"
"environment associated with a plant part or small plant"	"envoMeo"	"An environmental system determined by part of a living or dead plant, or a whole small plant."	"http://purl.obolibrary.org/obo/ENVO_01001057"
"powdery snow avalanche"	"envoPolar"	"An avalanche during which powdery snow rapidly flows down a sloping surface."	"http://purl.obolibrary.org/obo/ENVO_03000106"
"atmosphere and water column exposed melt pond"	"envoPolar"	"A melt pond which and is exposed to the atmosphere and to a lesser degree water underlying the ice mass which contains it."	"http://purl.obolibrary.org/obo/ENVO_03000118"
"sub-Earth"	"envoAstro"	"A terrestrial planet which has a mass smaller than Earth's, such that 1) it lacks a magnetic field strong enough to shield its atmosphere from erosion by stellar wind and 2) it has comparatively short periods of geological activity unless it is subject to gravitational tidal forces from a much more massive object."	"http://purl.obolibrary.org/obo/ENVO_01001144"
"fungi-associated environment"	"envoOmics"	"An environmental system determined by a fungal structure."	"http://purl.obolibrary.org/obo/ENVO_01001041"
"environmental system determined by an organism"	"envoEmpo"	"An environmental system which is determined by a living organism."	"http://purl.obolibrary.org/obo/ENVO_01001000"
"lahar"	"environmental_hazards"	"A lahar is a type of mudflow or debris flow composed of a slurry of pyroclastic material, rocky debris, and water. The material flows down from a volcano, typically along a river valley."	"http://purl.obolibrary.org/obo/ENVO_01000699"
"non-saline aerosol environment"	"envoOmics"	"An environmental system which has its properties and dynamics determined by an aerosol with a low concentration of dissolved solutes."	"http://purl.obolibrary.org/obo/ENVO_01001054"
"marine cold-water sphere"	"envoPolar"	"The marine cold-water sphere describes a water mass extending from the polar seas and across low latitudes at depths of ca. 800 to 1000 m, which is separated from the marine warm-water sphere by the permanent marine thermocline"	"http://purl.obolibrary.org/obo/ENVO_01000108"
"season"	"envoPolar"	"A one-dimensional temporal region which is delimited by the occurrence of processes which serve as its delimiters."	"http://purl.obolibrary.org/obo/ENVO_03000096"
"arete"	"envoPolar"	"A ridge which is jagged, narrow and separates glacier valleys or cirques."	"http://purl.obolibrary.org/obo/ENVO_00000429"
"inlet"	"envoPolar"	"An opening of the sea into the land, or of a lake into its shore."	"http://purl.obolibrary.org/obo/ENVO_00000475"
"adfreezing"	"envoNceas"	"Adfreezing is a freezing process during which two objects adhere to each other via ice."	"http://purl.obolibrary.org/obo/ENVO_04000000"
"disturbed ecosystem"	"envoPolar"	"An ecosystem which has been subject to a perturbation, that is, the ecosystem has undergone a pronounced change in response to a change in environmental conditions or other perturbation."	"http://purl.obolibrary.org/obo/ENVO_01000445"
"marine algal bloom"	"envoPolar"	"A marine algal bloom is a rapid increase or accumulation in the population of algae in a marine system. Typically, only one or a small number of phytoplankton  species are involved. Although there is no officially recognized threshold level, algae can be considered to be blooming at concentrations of hundreds to thousands of cells per milliliter, depending on the severity."	"http://purl.obolibrary.org/obo/ENVO_01000057"
"upper montane"	"envoPolar"	"An upper montane condition is a montane condition in which an altitude range falls immediately below the tree line."	"http://purl.obolibrary.org/obo/ENVO_01000345"
"geological subsidence"	"environmental_hazards"	"A material transport process during which a geological surface shifts downward relative to a datum such as sea-level."	"http://purl.obolibrary.org/obo/ENVO_01000694"
"oceanic transient tracer"	"envoEOVs"	"A transient tracer role which inheres in chemical entities in seawater."	"http://purl.obolibrary.org/obo/ENVO_01001878"
"pollution monitoring"	"envoPolar"	"A monitoring process that assays the level of environmental pollutants to determine the presence of effect of environmental pollution."	"http://purl.obolibrary.org/obo/ENVO_02500043"
"atmospheric carbon dioxide"	"envoPolar"	"Atmospheric carbon dioxide is an environmental material composed of carbon dioxide in its gaseous form present in an atmosphere."	"http://purl.obolibrary.org/obo/ENVO_01000451"
"outlet glacier"	"envoPolar"	"A glacier fed by an ice sheet."	"http://purl.obolibrary.org/obo/ENVO_00000459"
"icemelt"	"envoPolar"	"Icemelt is a hydrological melthing process in which water is produced by the melting of ice and becomes part of the hydrological surface runoff."	"http://purl.obolibrary.org/obo/ENVO_01000721"
"marine tidal flow"	"envoCmecs"	"A marine current which is maintained by a tidal flow process."	"http://purl.obolibrary.org/obo/ENVO_01001336"
"polar front"	"envoAtmo"	"A weather front which separates air masses of tropical and polar origin."	"http://purl.obolibrary.org/obo/ENVO_01001698"
"biota"	"envoPlastics"	"A collection of organisms which inhabits the same region, ecosystem, or time period."	"http://purl.obolibrary.org/obo/ENVO_06105012"
"meteor"	"envoAtmo"	"A meteor is any matter- or energy-based entity which is located in the atmosphere of an astronomical body."	"http://purl.obolibrary.org/obo/ENVO_01001008"
"lunar rainbow"	"envoAtmo"	"A lunar rainbow is a rainbow produced by the refraction of light, which has been reflected from a moon's surface, by water droplets in an astronomical body's atmosphere."	"http://purl.obolibrary.org/obo/ENVO_01001005"
"ice lead"	"envoPolar"	"A surface layer of a water body which has been formed as the result of surface ice fracturing and moving apart."	"http://purl.obolibrary.org/obo/ENVO_01001551"
"gamma-ray radiation"	"environmental_hazards"	"A radiation process during which penetrating electromagnetic radiation is emitted from the radioactive decay (gamma decay) of atomic nuclei."	"http://purl.obolibrary.org/obo/ENVO_21001218"
"nautical squall"	"envoAtmo"	"A storm which is nautical, localised, and of high severity local storm considered as a whole: that is, winds and cloud mass and (if any) precipitation, thunder and lightning."	"http://purl.obolibrary.org/obo/ENVO_01001729"
"soil erosion"	"envoPolar"	"Soil erosion is a process in which exogenic processes remove soil from one location on the Earth's crust and transport it to another location where it is deposited."	"http://purl.obolibrary.org/obo/ENVO_01000706"
"marine tidal flow zone"	"envoCmecs"	"An environmental zone in which varying gravitational forces from astronomical bodies, combined with the rotation of the astronomical body containing the zone, cause marine waters to undergo periodic depth oscillations (tides)."	"http://purl.obolibrary.org/obo/ENVO_01001341"
"carbon dioxide-reducing sediment"	"envoPolar"	"Sediment hosting and characterised by active carbon dioxide reducing microbial communities."	"http://purl.obolibrary.org/obo/ENVO_01000154"
"saline water environment"	"envoOmics"	"An environmental system which has its properties and dynamics determined by saline water."	"http://purl.obolibrary.org/obo/ENVO_01000307"
"root"	"http://purl.obolibrary.org/obo/po#Maize"	"A plant axis (PO:0025004) that lacks shoot axis nodes (PO:0005004) and usually grows indeterminately."	"http://purl.obolibrary.org/obo/PO_0009005"
"area of ice cover"	"envoCryo"	"An environmental zone which is covered or partially covered by ice."	"http://purl.obolibrary.org/obo/ENVO_03400016"
"nurdle"	"envoPlastics"	"A plastic pellet which is produced such that its size allows it to be rapidly melted and used as input for further downstream manufacturing processes."	"http://purl.obolibrary.org/obo/ENVO_01000777"
