?label	?subset	?definition	?URI
"soil environment"	"envoEmpo"	"An environmental system which has its properties and dynamics determined by soil."	"http://purl.obolibrary.org/obo/ENVO_01001044"
"cold desert"	"envoPolar"	"A cold desert is a desert which has hot summers and cold, dry winters with temperatures below 0 degrees Celsius"	"http://purl.obolibrary.org/obo/ENVO_01000382"
"thermosetting disposition"	"envoPlastics"	"A disposition which inheres in materials capable of becoming rigid when cured by heating."	"http://purl.obolibrary.org/obo/ENVO_06105004"
"mussel bed"	"envoCmecs"	"A marine faunal bed which is dominated by mussels of the Mytilus or Modiolus genera either 1) resting on the sediment surface, 2)  partially embedded in the sediment, 3) attached to conspecifics (by using their byssal threads), or 4) attached to a piece of gravel in slightly gravelly fine sediments."	"http://purl.obolibrary.org/obo/ENVO_01001379"
"technosphere"	"envoAstro"	"A part of an astronomical body which includes, as parts, all the entities which have been constructed or manufactured by humans or their technology and which are within the gravitational sphere of influence of that body."	"http://purl.obolibrary.org/obo/ENVO_01000983"
"brine rejection from seawater"	"envoPolar"	"A material transformation process during which brine is formed due to the expulsion of salt during frazil formation or a seawater freezing process."	"http://purl.obolibrary.org/obo/ENVO_03000045"
"mountain"	"envoPolar"	"A landform that extends above the surrounding terrain in a limited area."	"http://purl.obolibrary.org/obo/ENVO_00000081"
"continental margin"	"envoPolar"	"A slope which is part of the seafloor, descends from the continental crust to the oceanic crust, and comprises the continental shelf, continental slope, and continental rise."	"http://purl.obolibrary.org/obo/ENVO_01000298"
"tsunami"	"environmental_hazards"	"A tsunami is a process during which a series of waves is generated in a water body, typically an ocean or large lake, by the displacement of a large volume of water. Earthquakes, volcanic eruptions and other underwater explosions (including detonations of underwater nuclear devices), landslides, glacier calvings, meteorite impacts and other disturbances above or below water all have the potential to generate a tsunami."	"http://purl.obolibrary.org/obo/ENVO_01000689"
"arable soil"	"envoMeo"	"Soil which is capable of supporting the growth of crops."	"http://purl.obolibrary.org/obo/ENVO_00005742"
"area of mixed forest"	"nlcd2011"	"An area of a planet's surface which is primarily covered by a forest in which the trees are a mixture between those that lose and retain their foliage despite seasonal change. The surfaces of this area (including the surface of the forest canopy) are in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	"http://purl.obolibrary.org/obo/ENVO_01000855"
"arid"	"envoPolar"	"An environmental condition in which annual precipitation is less than half of annual potential evapotranspiration."	"http://purl.obolibrary.org/obo/ENVO_01000230"
"lambing storm"	"envoPolar"	"A snowfall which occurs during springtime and is of low intensity."	"http://purl.obolibrary.org/obo/ENVO_03400008"
"greenhouse gas"	"envoPolar"		"http://purl.obolibrary.org/obo/CHEBI_76413"
"obsolete sea ice formation process"	"envoPolar"	"An ice formation process during which seawater is frozen into a sea ice."	"http://purl.obolibrary.org/obo/ENVO_03000057"
"shoot system meristem"	"http://purl.obolibrary.org/obo/po#TraitNet"	"A portion of meristem tissue (PO:0009013) that is part of a shoot system (PO:0009006)."	"http://purl.obolibrary.org/obo/PO_0006079"
"strand crack"	"envoPolar"	"Fissure at the junction between an inland ice sheet, ice piedmont or ice rise and an ice shelf, the latter being subject to the rise and fall of the tide."	"http://purl.obolibrary.org/obo/ENVO_00009726"
"fecal environment"	"envoEmpo"	"An environmental system which has its properties and dynamics determined by feces."	"http://purl.obolibrary.org/obo/ENVO_01001029"
"fresh water"	"envoEmpo"	"Water which has a low concentration of dissolved solutes, particularly that of sodium chloride."	"http://purl.obolibrary.org/obo/ENVO_00002011"
"mangrove biome"	"wwfBiome"	"A mangrove biome is a terrestrial biome which includes, across its spatial extent, mangrove plants (Rhizophoraceae). Mangrove plants are able to withstand high levels of salinity as well as regions of anoxia and frequent tidal inundation. Mangrove biomes often occur near tropical and sub-tropical estuaries and depositional marine coastal environments where fine sediments (often with high organic content) collect in areas protected from high energy wave action."	"http://purl.obolibrary.org/obo/ENVO_01000181"
"rainstorm"	"envoAtmo"	"An atmospheric storm during which intense rainfall occurs."	"http://purl.obolibrary.org/obo/ENVO_01000879"
"astronomical body part"	"envoAstro"	"A material part of an astronomical body."	"http://purl.obolibrary.org/obo/ENVO_01000813"
"cyclone"	"envoAtmo"	"An atmospheric storm during which a large mass of atmospheric gas rotates around a centre of low atmospheric pressure, generating high winds which spiral towards that centre."	"http://purl.obolibrary.org/obo/ENVO_01001297"
"lower montane"	"envoPolar"	"A lower montane condition is a montane condition in which an altitude range falls immediately above mid-altitude forests."	"http://purl.obolibrary.org/obo/ENVO_01000346"
"root"	"http://purl.obolibrary.org/obo/po#Musa"	"A plant axis (PO:0025004) that lacks shoot axis nodes (PO:0005004) and usually grows indeterminately."	"http://purl.obolibrary.org/obo/PO_0009005"
"atmospheric lightning"	"environmental_hazards"	"A sudden electrostatic discharge which occurs during an electrical storm as differentially charged atmospheric entities equalise their charge."	"http://purl.obolibrary.org/obo/ENVO_01000898"
"granule of plastic foam"	"envoPlastics"	"A piece of plastic foam which has a near-spherical or granular shape."	"http://purl.obolibrary.org/obo/ENVO_06105026"
"estuarine tidal riverine open water pycnocline"	"envoCmecs"	"An estuarine open water pycnocline which is composed primarily of fresh tidal water."	"http://purl.obolibrary.org/obo/ENVO_01001328"
"plant axis"	"http://purl.obolibrary.org/obo/po#TraitNet"	"An axial plant organ (PO:0009008)."	"http://purl.obolibrary.org/obo/PO_0025004"
"underground lake"	"envoPolar"	"A lake which is formed under the surface of the Earth. Such a lake may be associated with caves and aquifers and springs."	"http://purl.obolibrary.org/obo/ENVO_00000058"
"mini-Neptune"	"envoAstro"	"A gas planet which has an atmosphere composed of hydrogen and helium  - probably with deep layers of ice, rock or liquid oceans (made of water, ammonia, a mixture of both, or heavier volatiles) - and a small core made of low-density volatiles."	"http://purl.obolibrary.org/obo/ENVO_01001128"
"planetary cryosphere"	"envoCryo"	"A cryosphere which is part of a planet."	"http://purl.obolibrary.org/obo/ENVO_03000144"
"lightning strike"	"environmental_hazards"	"A lightning process during which electrostatic discharge occurs between a cloud and an object on a planetary surface, or a planetary surface itself."	"http://purl.obolibrary.org/obo/ENVO_01000901"
"polar biome"	"envoPolar"	"A biome which is subject to polar climatic conditions."	"http://purl.obolibrary.org/obo/ENVO_01000339"
"ice lens"	"envoPolar"	"An ice mass which is formed when moisture, diffused within soil or rock, accumulates and freezes in a localized zone, wedging soil or rock apart."	"http://purl.obolibrary.org/obo/ENVO_01000279"
"environment associated with an animal part or small animal"	"envoOmics"	"An environmental system determined by part of a living or dead animal, or a whole small animal."	"http://purl.obolibrary.org/obo/ENVO_01001055"
"marine anthropogenic litter"	"envoPlastics"	"Anthropogenic litter which is present in the marine environment."	"http://purl.obolibrary.org/obo/ENVO_06105107"
"stellar radiation"	"envoAstro"	"An electromagnetic radiation process during which electromagnetic waves or their quanta are emitted from a star."	"http://purl.obolibrary.org/obo/ENVO_01001211"
"weather front"	"envoAtmo"	"A gaseous front which separates two masses of air with different densities and is a principal cause of meteorological phenomena."	"http://purl.obolibrary.org/obo/ENVO_01001681"
