?label	?definition	?exactSynonym	?broadSynonym	?narrowSynonym	?relatedSynonym	?subsetType	?uri
"beach"	"A landform consisting of loose rock particles such as sand, gravel, shingle, pebbles, cobble, or even shell fragments along the shoreline of a body of water."	"Beach"		"beach berm|lagoon beach"	"foreshore flats|beaches|strand|beach|rivage"	"http://purl.obolibrary.org/obo/ENVO_03605023|http://purl.obolibrary.org/obo/ENVO_03605018|http://purl.obolibrary.org/obo/ENVO_03605025|http://purl.obolibrary.org/obo/ENVO_03605014"	"http://purl.obolibrary.org/obo/ENVO_00000091"
"beach ridge"	"A ridge of sand just inland and parallel to the beach, usually in series."						"http://purl.obolibrary.org/obo/ENVO_00000529"
"beach sand"							"http://purl.obolibrary.org/obo/ENVO_00002138"
"beaver dam"	"An obstruction in a stream constructed by a beaver."	"dam of beaver"	"dam"				"http://purl.obolibrary.org/obo/ENVO_00000500"
"beaver lodge"	"An animal habitation created by a beaver, constructed within or adjacent to the pond created by the beaver dam."						"http://purl.obolibrary.org/obo/ENVO_02000173"
"beaver pond"	"A pond that has formed as a consequence of the activities of beavers, building a beaver dam."				"lake"		"http://purl.obolibrary.org/obo/ENVO_00000270"
"bed base"	"A bed base is a piece of furniture which supports a mattress."	"bed foundation"					"http://purl.obolibrary.org/obo/ENVO_01000592"
"bed frame"	"A bed frame is a piece of furniture which is used to position a mattress and bed base and may include a means of supporting a canopy."				"bedstead"		"http://purl.obolibrary.org/obo/ENVO_01000591"
"bedclothing"	"Bedclothing is a textile covering used on a bed as a sheet, blanket, or pillowcase."						"http://purl.obolibrary.org/obo/ENVO_02000002"
"bedding-plane cave"	"A cavity developed along a bedding-plane and elongate in cross-section as a result."						"http://purl.obolibrary.org/obo/ENVO_00000001"
"bedrail"	"A poll which is attached to the head, foot, or side of a bed frame."	"half rail|bed handle|assist bar|side rail|safety rail|adult portable bed rail|grab bar|bed rail|hospital bed rail|bed side rail"					"http://purl.obolibrary.org/obo/ENVO_03501209"
"bedrock"	"A lithified mass of rock that lies under the loose softer material (regolith) at the surface of the Earth or other terrestrial planet."						"http://purl.obolibrary.org/obo/ENVO_01000751"
"bedrock dissolution"	"An erosional process in which bedrock is converted from its solid form into a solute by the action of some solvent."						"http://purl.obolibrary.org/obo/ENVO_02500029"
"bee hive"	"An animal habitation that is assembled by colonies of organisms in the clade Anthophila (bees). Each nest is composed of multiple honeycombs, constructed using beeswax for the purposes of rearing young and storing honey and pollen."	"beehive"					"http://purl.obolibrary.org/obo/ENVO_02000159"
"beech forest soil"	"Soil which is part of a forest whose communites of arborescent plants are dominated the genus Fagus."					"http://purl.obolibrary.org/obo/ENVO_03605015"	"http://purl.obolibrary.org/obo/ENVO_00005770"
"beeswax"	"A natural wax that is produced by a bee."						"http://purl.obolibrary.org/obo/ENVO_02000169"
"belt conveyor system"	"A conveyor system which uses conveyer belt machines to transport material."						"http://purl.obolibrary.org/obo/ENVO_03501362"
"bench"	"A bench is a piece of furniture, on which several people may sit at the same time."						"http://purl.obolibrary.org/obo/ENVO_01000589"
"benthic deep-sea mining"	"A mining process during which materials are extracted from benthic environments deep below the ocean surface, where no stellar radiation reaches.."	"deep-seafloor mining|deep seafloor mining"					"http://purl.obolibrary.org/obo/ENVO_01001416"
"bicycle"	"A bicycle is a human-powered, pedal-driven, single-track vehicle, having two wheels attached to a frame, one behind the other."		"cycle|bike"				"http://purl.obolibrary.org/obo/ENVO_01000614"
"big-box store"	"A store which is physically large and is part of a retail chain."	"superstore|supercenter|megastore"					"http://purl.obolibrary.org/obo/ENVO_03501243"
"bike path"	"A constructed pavement which is intended for bicycle traffic"						"http://purl.obolibrary.org/obo/ENVO_03500004"
"bile material"	"A bodily fluid material which is composed primarily of bile, a bodily fluid consisting of a bitter, yellow or green alkaline fluid secreted by hepatocytes from the liver of most vertebrates. In many species, bile is stored in the gallbladder between meals and upon eating is discharged into the duodenum where the bile aids the process of digestion of lipids."				"gall"		"http://purl.obolibrary.org/obo/ENVO_02000023"
"biochar"	"charcoal that is used as a soil amendment."						"http://purl.obolibrary.org/obo/ENVO_2000007"
"biocrust"	"A surface layer of a solid environmental material which is formed by the presence and activity of photosynthetic microbial assemblages colonising it."	"biological crust"					"http://purl.obolibrary.org/obo/ENVO_01000909"
"biodegradation"	"A biological process during which a material entity is broken down."	"Biologischer Abbauprozess|Biodegradation|biodegradazione|biodegradación|生物分解"				"http://purl.obolibrary.org/obo/envo#envoPlastics"	"http://purl.obolibrary.org/obo/ENVO_06105014"
"biodegradation of plastic"	"A biodegradation process during which plastic is broken down."	"biodegradazione della plastica|biodegradación del plástico|biological degradation of plastics|Biologischer Plastikabbauprozess"				"http://purl.obolibrary.org/obo/envo#envoPlastics"	"http://purl.obolibrary.org/obo/ENVO_06105015"
"biodiversity conservation process"	"A conservation process during which the variability of life - from genes to ecosystems - is preserved."						"http://purl.obolibrary.org/obo/ENVO_01001635"
"biofilm"	"A complex aggregation of microorganisms marked by the excretion of a protective and adhesive matrix; usually adhering to a substratum."					"http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC|http://purl.obolibrary.org/obo/ENVO_03605018"	"http://purl.obolibrary.org/obo/ENVO_00002034"
"biofilm material"	"Material derived from a biofilm, an aggregate of microorganisms in which cells adhere to each other and/or to a surface. These adherent cells are frequently embedded within a self-produced matrix of extracellular polymeric substance (EPS). Biofilm EPS, which is also referred to as slime, is a polymeric conglomeration generally composed of extracellular DNA, proteins, and polysaccharides in various configurations."						"http://purl.obolibrary.org/obo/ENVO_01000156"
"biofilter"	"A bioreactor which captures and, through the biological processes maintained in the medium it contains, degrades pollutants."						"http://purl.obolibrary.org/obo/ENVO_00002152"
"biofouling"	"A fouling process during which biological matter accumulates on a solid surface."	"bio-incrostazione|bio-incrustación|biological fouling"		"Makrofouling|Mikrofouling"	"Bewuchs"	"http://purl.obolibrary.org/obo/envo#envoPlastics"	"http://purl.obolibrary.org/obo/ENVO_06105023"
"biogas"	"Biogas is a mixture of different gases produced by the breakdown of organic matter in the absence of oxygen,  is primarily composed of methane and carbon dioxide, and may have small amounts of hydrogen sulfide, water, and siloxanes."						"http://purl.obolibrary.org/obo/ENVO_01000556"
"biogenous sediment"	"Biogenous sediment is derived from living organisms, typically planktonic organisms possessing shells, frustules or coccoliths."					"http://purl.obolibrary.org/obo/envo#envoPolar"	"http://purl.obolibrary.org/obo/ENVO_01000082"
"biogeochemical cycling"	"A biogeochemical process during which one or more chemical compounds are sequentially converted into a series of related compounds in a regularly repeating, periodic fashion."					"http://purl.obolibrary.org/obo/envo#envoPolar"	"http://purl.obolibrary.org/obo/ENVO_02500009"
"biogeochemical process"	"A process during which chemicals that are involved in natural ecosystem processes are transported or transformed, and which impact the activity of biological entities"					"http://purl.obolibrary.org/obo/envo#envoPolar"	"http://purl.obolibrary.org/obo/ENVO_02500030"
"biogeographic realm"	"An ecosystem which is surrounded by natural, macro- to megascale geographic barriers to species migration, and thus which comprises ecological communities with evolutionary histories largely delimited by those barriers."	"ecozone"					"http://purl.obolibrary.org/obo/ENVO_03620000"
"biological nutrient removal during wastewater treatment"	"A recycling process that uses microbes for the uptake of nitrogen and phosphorus during wastewater treatment."						"http://purl.obolibrary.org/obo/ENVO_02000158"
"biological product"	"A biological product is an environmental substrate comprised of any virus, therapeutic serum, toxin, antitoxin, or analogous product available to prevent, treat or cure diseases or injuries in man."						"http://purl.obolibrary.org/obo/ENVO_02000043"
"biological waste material"	"Biological waste is waste containing mostly natural organic materials (remains of plants, animal excrement, biological sludge from waste-water treatment plants and so forth)."		"biological waste"				"http://purl.obolibrary.org/obo/ENVO_01000373"
"biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh"	"Biomass which is composed primarily of motile communities sieved out of the collection tub of an autonomous reef monitoring structure (ARMS), using a 500 micrometre mesh followed by a 100 micrometre mesh."		"motile 100 micrometre fraction"				"http://purl.obolibrary.org/obo/ENVO_01001900"
"biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh"	"Biomass which is composed primarily of motile communities sieved out of the collection tub of an autonomous reef monitoring structure (ARMS), using a 2 millimeter mesh followed by a 500 micrometre mesh."		"motile 500 micrometre fraction"				"http://purl.obolibrary.org/obo/ENVO_01001901"
"biomaterial containment unit"	"A manufactured product which has been designed to contain a mass of biomaterial."						"http://purl.obolibrary.org/obo/ENVO_01001816"
"biomaterial culturing unit"	"A biomaterial containment unit which is designed to allow the growth and propagation of the biomaterial it contains."						"http://purl.obolibrary.org/obo/ENVO_01001817"
"biome"	"A biome is an ecosystem which is undergoing climactic ecological succession."	"major habitat type"			"EcosytemType"		"http://purl.obolibrary.org/obo/ENVO_00000428"
"biopolymer"	"A polymer which is the output of a biological process."					"http://purl.obolibrary.org/obo/envo#envoPlastics"	"http://purl.obolibrary.org/obo/ENVO_06105122"
"bioreactor"	"A biomaterial containment unit which is capable of 1) containing a mass of environmental material which hosts an active collection of organisms and 2) maintaining conditions which are conducive to one or more metabolic activities of the organisms it contains."						"http://purl.obolibrary.org/obo/ENVO_00002123"
"bioremediation"							"http://purl.obolibrary.org/obo/ENVO_02000176"
"biosolids"	"A treated form of sludge, sometimes used as a fertilizer in agriculture."						"http://purl.obolibrary.org/obo/ENVO_00002059"
"biosphere"	"An astronomical body part which includes all the living entities within the gravitational sphere of influence of that body, as well as the non-living and dead entities with which they interact."					"http://purl.obolibrary.org/obo/envo#envoPolar|http://purl.obolibrary.org/obo/envo#envoAstro"	"http://purl.obolibrary.org/obo/ENVO_01000817"
"biosphere reserve"	"An international conservation designation given by UNESCO under its Programme on Man and the Biosphere (MAB)."						"http://purl.obolibrary.org/obo/ENVO_00000376"
"biota"	"A collection of organisms which inhabits the same region, ecosystem, or time period."	"biota|Biota"				"http://purl.obolibrary.org/obo/envo#envoPlastics"	"http://purl.obolibrary.org/obo/ENVO_06105012"
"biotic carbon sequestration"	"A carbon sequestration process during which atmospheric carbon dioxide is captured and stored by biological processes."					"http://purl.obolibrary.org/obo/envo#envoNceas"	"http://purl.obolibrary.org/obo/ENVO_04000016"
"biotransformation of biomass into mixed alcohols"	"A biotransformation process that produces mixed alcohols from from biomass via fermentation."				"mixed alcohol bioreactor process"		"http://purl.obolibrary.org/obo/ENVO_02000191"
"biotransformation of coal"	"A biotransformation process that targets coal, using engineered biological organisms to alter its chemical composition or properties, potentially enhancing its energy efficiency or reducing its environmental footprint."						"http://purl.obolibrary.org/obo/ENVO_02000188"
"biotransformation process"	"A planned process involving the deliberate use of biological agents, such as microbes or enzymes, to chemically modify substances in a controlled setting. This process is typically utilized to enhance the value or reduce the environmental impact of various materials."				"biotransformation"		"http://purl.obolibrary.org/obo/ENVO_02000187"
"bistro"	"A restaurant which is of French cultural origin and which has a short menu and limited seating space."	"bistrot"					"http://purl.obolibrary.org/obo/ENVO_03501221"
"bituminous sand"	"An environmental material which consists of either loose sands or partially consolidated sandstone, containing a naturally occurring mixture of sand, clay, and water, soaked with a dense and extremely viscous form of petroleum."	"crude bitumen|oil sands|tar sands"					"http://purl.obolibrary.org/obo/ENVO_03600013"
"bitumous coal"	"a relatively soft coal containing a tarlike substance called bitumen or asphalt. It is of higher quality than lignite coal but of poorer quality than anthracite. It is an organic sedimentary rock formed by diagenetic and sub metamorphic compression of peat bog material."	"black coal"					"http://purl.obolibrary.org/obo/ENVO_2000010"
