?label	?definition	?exactSynonym	?broadSynonym	?narrowSynonym	?relatedSynonym	?subsetType	?uri
"microbial enhanced oil recovery"	"A biotransformation that uses microorganisms to increase the extraction efficiency of oil from reservoirs. This process may involve the alteration of oil viscosity, the modification of reservoir properties, or the production of biosurfactants."						"http://purl.obolibrary.org/obo/ENVO_02000189"
"microbial mat"	"A multi-layered sheet of micro-organisms, mainly bacteria and archaea. Microbial mats grow at interfaces between different types of material, mostly on submerged or moist surfaces but a few survive in deserts."					"http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC|http://purl.obolibrary.org/obo/ENVO_03605018"	"http://purl.obolibrary.org/obo/ENVO_01000008"
"microbial mat material"	"Material derived from a microbial mat, a multi-layered sheet of micro-organisms, mainly bacteria and archaea. Microbial mats create a wide range of internal chemical environments."					"http://purl.obolibrary.org/obo/envo#envoPolar"	"http://purl.obolibrary.org/obo/ENVO_01000157"
"microbial solubization of coal"	"A biotransformation that uses microbes to convert solid coal into a more soluble form, enhancing its utility for energy production or further chemical processing."						"http://purl.obolibrary.org/obo/ENVO_02000190"
"microbialite"	"A sedimentary rock which is made of carbonate mud whose formation is mediated by microbes in the benthic zone."						"http://purl.obolibrary.org/obo/ENVO_03600064"
"microburst"	"A downburst during which high winds occur over an area less than four kilometres in diameter."						"http://purl.obolibrary.org/obo/ENVO_01001754"
"microcontinental island"	"An island created when a continent is rifted."						"http://purl.obolibrary.org/obo/ENVO_1000749"
"microcosm"	"A microcosm is a vivarium within which a simple ecosystem is artificially established and used to simulate and predict the behaviour of natural ecosystems under controlled conditions."						"http://purl.obolibrary.org/obo/ENVO_01000621"
"microfracture"	"A microfracture is a small fracture which is found in a portion of solid material along which further fracturing tends to occur. Microfractures are considered imperfections which to pre-exist any fractures formed by the application of stress to a material."	"Griffith crack"					"http://purl.obolibrary.org/obo/ENVO_01000674"
"microplastic particle"	"A piece of plastic which has a diameter less than five millimetres."				"microplastic"	"http://purl.obolibrary.org/obo/envo#envoPlastics"	"http://purl.obolibrary.org/obo/ENVO_01000944"
"microwave radiation"	"A radiation process during which electromagnetic waves or their quanta are emitted at wavelengths and frequencies which travel exclusively in a line-of-sight fashion and which may produce molecular rotation and torsion on contact with matter."						"http://purl.obolibrary.org/obo/ENVO_21001212"
"microwave stellar radiation"	"A stellar radiation process during which electromagnetic waves or their quanta are emitted from a star at wavelengths and frequencies which travel exclusively in a line-of-sight fashion and which may produce molecular rotation and torsion on contact with matter."			"microwave solar radiation"		"http://purl.obolibrary.org/obo/envo#envoAstro"	"http://purl.obolibrary.org/obo/ENVO_01001212"
"mid-elevation mountain"	"A mountain which has a maximum elevation between 300 and 2499 metres above sea level and slopes greater than or equal to two degrees of inclination."						"http://purl.obolibrary.org/obo/ENVO_01001460"
"mid-infrared radiation"	"An infrared radiation during which waves with frequencies between 30 THz and 120 THz and with wavelengths between 10 micrometers and 2.5 micrometers are emitted by a source."						"http://purl.obolibrary.org/obo/ENVO_03500013"
"mid-ocean ridge"	"An underwater mountain range, formed by plate tectonics. This uplifting of the ocean floor occurs when convection currents rise in the mantle beneath the oceanic crust and create magma where two tectonic plates meet at a divergent boundary. The mid-ocean ridges of the world are connected and form a single global mid-oceanic ridge system that is part of every ocean."				"OceanRidge"	"http://purl.obolibrary.org/obo/ENVO_03605025"	"http://purl.obolibrary.org/obo/ENVO_00000406"
"mid-shelf fronts"							"http://purl.obolibrary.org/obo/ENVO_01000088"
"midden"	"A dump for domestic waste. A term used to describe any kind of feature containing waste products relating to day-to-day human life."						"http://purl.obolibrary.org/obo/ENVO_00010442"
"middle atmospheric level"		"middle étage"					"http://purl.obolibrary.org/obo/ENVO_03520001"
"migration path"	"An ecological corridor through which organisms move during a migration process."	"migration corridor"			"migratory route"	"http://purl.obolibrary.org/obo/envo#envoPolar"	"http://purl.obolibrary.org/obo/ENVO_01000931"
"military training area"	"A region in which military personnel train."						"http://purl.obolibrary.org/obo/ENVO_00000561"
"mine"	"An excavation in the Earth for the purpose of extracting earth materials."					"http://purl.obolibrary.org/obo/ENVO_03605014|http://purl.obolibrary.org/obo/ENVO_03605018"	"http://purl.obolibrary.org/obo/ENVO_00000076"
"mine drainage"	"The outflow of water from a mine."				"acid and metalliferous drainage|acid rock drainage"	"http://purl.obolibrary.org/obo/ENVO_03605018"	"http://purl.obolibrary.org/obo/ENVO_00001996"
"mine pit"							"http://purl.obolibrary.org/obo/ENVO_02000186"
"mine pit pond"							"http://purl.obolibrary.org/obo/ENVO_02000179"
"mine tailing"	"Mine tailings are the materials left over after the process of separating the valuable fraction from the uneconomic fraction (gangue) of an ore."		"tailing"				"http://purl.obolibrary.org/obo/ENVO_00000003"
"mineral deposit"	"A mineral deposit is a physiographic feature which has unusually high concentrations of one or more minerals."	"mineral ore deposit"		"ore deposit"			"http://purl.obolibrary.org/obo/ENVO_01000255"
"mineral dust"	"Dust which is derived from mineral material."						"http://purl.obolibrary.org/obo/ENVO_02000100"
"mineral horizon"	"A soil horizon which is primarily composed of mineral material."						"http://purl.obolibrary.org/obo/ENVO_03600011"
"mineral material"	"A mineral material is an environmental material which is primarily composed of some substance that is naturally occurring, solid and stable at room temperature, representable by a chemical formula, usually abiogenic, and that has an ordered atomic structure."						"http://purl.obolibrary.org/obo/ENVO_01000256"
"mineral spring"	"A spring which  water contains a significant amount of dissolved minerals, that derive from the rocks through which the water flows."		"spring (hydrographic)|spring"				"http://purl.obolibrary.org/obo/ENVO_00000125"
"mineral-to-(proton/hydroxide ion) exchange"	"A deionisation process during which mineral ions are replaced with either protons or hydroxide ions."						"http://purl.obolibrary.org/obo/ENVO_01001946"
"mineral-to-(proton/hydroxide) deionised water"	"Deionised water which is the output of a mineral-to-(proton/hydroxide) deionisation process."		"demineralised water"				"http://purl.obolibrary.org/obo/ENVO_01001948"
"mini-Neptune"	"A gas planet which has an atmosphere composed of hydrogen and helium  - probably with deep layers of ice, rock or liquid oceans (made of water, ammonia, a mixture of both, or heavier volatiles) - and a small core made of low-density volatiles."				"transitional planet"	"http://purl.obolibrary.org/obo/envo#envoAstro"	"http://purl.obolibrary.org/obo/ENVO_01001128"
"mining"	"A planned environmental usage process during which a non-renewable resource such as petroleum, natural gas, or water is extracted from an ecosystem."						"http://purl.obolibrary.org/obo/ENVO_01001437"
"minor planet"	"A minor planet is an astronomical object in direct orbit around the Sun that is neither a planet nor exclusively classified as a comet. Minor planets can be dwarf planets, asteroids, trojans, centaurs, Kuiper belt objects, and other trans-Neptunian objects."					"http://purl.obolibrary.org/obo/envo#envoAstro"	"http://purl.obolibrary.org/obo/ENVO_01000809"
"mist"	"A visible mass of water droplets or ice crystals suspended in the air at or near a planetary surface, formed when humid air cools rapidly."						"http://purl.obolibrary.org/obo/ENVO_01001458"
"mixed forest"	"A forest ecosystem which contains densely packed populations or communities of broadleaf and coniferous trees, strongly limiting light penetration to the forest floor."						"http://purl.obolibrary.org/obo/ENVO_01000431"
"mixed forest biome"	"A mixed forest which is in its climactic successional state."					"http://purl.obolibrary.org/obo/ENVO_03605013|http://purl.obolibrary.org/obo/envo#wwfBiome|http://purl.obolibrary.org/obo/ENVO_03605022"	"http://purl.obolibrary.org/obo/ENVO_01000198"
"mixed grassland"	"A grassland which contains a mixture of tall and short grasses."		"mixed grassland"				"http://purl.obolibrary.org/obo/ENVO_01000448"
"mixed potential and kinetic energy"	"Energy which is the sum of 1) kinetic energy and 2) potential energy."						"http://purl.obolibrary.org/obo/ENVO_2000018"
"moatan"	"An annular depression that may not be continuous, located at the base of many seamounts, islands, and other isolated elevations."						"http://purl.obolibrary.org/obo/ENVO_00000536"
"mobile dental clinic"	"A dental clinic which is capable of transporting equipment and personnel to render dental care."						"http://purl.obolibrary.org/obo/ENVO_01001942"
"mobile intensive care ambulance"	"An ambulance which is equiped to enable intensive care service provision."	"mobile ICU|mobile intensive unit|mobile intensive care unit|MICU"					"http://purl.obolibrary.org/obo/ENVO_03501157"
"mobile phone"	"A mobile phone is a telephone which transmits sound information to a mobile phone network via radio transmissions."	"hand phone|cellular phone|cell phone"					"http://purl.obolibrary.org/obo/ENVO_01000581"
"mock community culture"	"A cell culture which is composed of a microbial community of known composition."					"http://purl.obolibrary.org/obo/envo#envoOmics|http://purl.obolibrary.org/obo/envo#envoEmpo"	"http://purl.obolibrary.org/obo/ENVO_01001059"
"moderately saline water"	"Water which contains a moderately increased concentration of dissolved salts, relative to their concentration in freshwater."	"moderately salty water"				"http://purl.obolibrary.org/obo/ENVO_03605019"	"http://purl.obolibrary.org/obo/ENVO_01001038"
"mofetta"	"A geological fracture, found near volacnoes in the final phase of thier activity, chiefly discharging carbon dioxide and possibly other vapors."						"http://purl.obolibrary.org/obo/ENVO_03600083"
"moist soil albedo"	"Soil albedo which inheres in moist soil."						"http://purl.obolibrary.org/obo/ENVO_06105234"
"moist-adiabatic process"	"An adiabatic process which involves air saturated with water vapour and the presence of liquid water."	"saturation-adiabatic process"				"http://purl.obolibrary.org/obo/envo#envoAtmo"	"http://purl.obolibrary.org/obo/ENVO_01001725"
"mollusc farming process"	"An aquaculture process during which humans rear molluscs."	"mollusc aquaculture"			"aquaculture of molluscs"		"http://purl.obolibrary.org/obo/ENVO_01001251"
"momentum transfer process"	"An environmental process during which momentum is transferred from one material entity to another."						"http://purl.obolibrary.org/obo/ENVO_01001842"
"monadnock"	"An isolated hill, knob, ridge, or small mountain that rises abruptly from a gently sloping or virtually level surrounding plain."				"mount|kopje|inselberg"		"http://purl.obolibrary.org/obo/ENVO_00000432"
"monochrome solar rainbow"	"A solar rainbow which is formed by a narrow band of wavelengths, the rest of the spectrum having been scattered away by an atmosphere."	"red rainbow|monochrome rainbow"				"http://purl.obolibrary.org/obo/envo#envoAtmo"	"http://purl.obolibrary.org/obo/ENVO_01001014"
"monogenetic volcanic field"	"A volcanic field of small, scattered volcanic vents. These volcanic fields, containing numerous monogenetic volcanoes, are noted for having only one short eruptive event. Monogenetic fields occur only where the magma supply to the volcano is low or where vents are not close enough or large enough to develop plumbing systems for continuous feeding of magma."						"http://purl.obolibrary.org/obo/ENVO_00000355"
"monomictic lake"	"A monomictic  lake is a holomictic lake which mixes from top to bottom during one mixing period each year."						"http://purl.obolibrary.org/obo/ENVO_01000288"
"monsoon season"	"A season during which changes in atmospheric circulation associated with the asymmetric heating of land and sea cause moisture to be brought inland by monsoon winds, leading to increased rainfall as moisture-laden air rises  and cools over land."						"http://purl.obolibrary.org/obo/ENVO_03000129"
"monsoon wind"	"An atmospheric wind during which air masses over an ocean flow towards a land mass, driven by disequilibria between land and ocean surface temperatures."						"http://purl.obolibrary.org/obo/ENVO_03000130"
"montane"	"An altitudinal condition which inheres in a bearer by virtue of the bearer being located at an altitude between mid-altitude forests and the tree line."					"http://purl.obolibrary.org/obo/envo#envoPolar"	"http://purl.obolibrary.org/obo/ENVO_01000342"
"montane biome"	"A biome which is subject to montane altitudinal conditions."						"http://purl.obolibrary.org/obo/ENVO_01001836"
"montane conifer woodland"	"A conifer woodland which is subject to montane environmental conditions."						"http://purl.obolibrary.org/obo/ENVO_01000347"
"montane desert biome"	"A montane desert ecosytem which is in its climactic successional state."						"http://purl.obolibrary.org/obo/ENVO_01000185"
"montane desert ecosystem"	"A desert ecosystem which is subject to montane environmental conditions."						"http://purl.obolibrary.org/obo/ENVO_01001903"
"montane ecosystem"	"A terrestrial ecosystem which is subject to montane environmental conditions."						"http://purl.obolibrary.org/obo/ENVO_01001927"
"montane grassland"	"A grassland which is subject to montane environmental conditions."						"http://purl.obolibrary.org/obo/ENVO_01001808"
"montane grassland biome"	"A montane grassland which is in its climactic successional state."					"http://purl.obolibrary.org/obo/ENVO_03605022|http://purl.obolibrary.org/obo/ENVO_03605013|http://purl.obolibrary.org/obo/envo#wwfBiome"	"http://purl.obolibrary.org/obo/ENVO_01000194"
"montane savanna"	"A savanna which is subject to montain environmental conditions."						"http://purl.obolibrary.org/obo/ENVO_01001923"
"montane savanna biome"	"A montane savanna biome is a savanna biome which occurs in regions elevated above sea level and which has community structure determined by elevation-dependent environmental conditions."					"http://purl.obolibrary.org/obo/ENVO_03605013|http://purl.obolibrary.org/obo/ENVO_03605022"	"http://purl.obolibrary.org/obo/ENVO_01000223"
"montane shrubland biome"	"A montane shrubland biome is a shrubland biome which occurs in regions elevated above sea level and which has community structure determined by elevation-dependent environmental conditions."					"http://purl.obolibrary.org/obo/envo#wwfBiome|http://purl.obolibrary.org/obo/ENVO_03605022|http://purl.obolibrary.org/obo/ENVO_03605013"	"http://purl.obolibrary.org/obo/ENVO_01000216"
"moonmoon"							"http://purl.obolibrary.org/obo/ENVO_01001494"
"moor"	"A wetland found in upland areas, characterised by acidic soils."		"moor"				"http://purl.obolibrary.org/obo/ENVO_00000231"
"moraine"	"An accumulation of boulders, stones, or other debris carried and deposited by a glacier."	"glacial moraine"				"http://purl.obolibrary.org/obo/envo#envoPolar"	"http://purl.obolibrary.org/obo/ENVO_00000177"
"mosque"	"A building which is a place of worship for Muslims."	"masjid"					"http://purl.obolibrary.org/obo/ENVO_03501272"
"motor"	"A motor is a machine designed to convert one or more forms of energy into mechanical energy."	"engine"					"http://purl.obolibrary.org/obo/ENVO_01000610"
"motor boat"	"A motor boat is a boat which is propelled by a motor."	"motorized boat|motorised boat"					"http://purl.obolibrary.org/obo/ENVO_01000609"
"motor oil"	"A lubricant for internal combustion engines which 1) reduces friction and wear 2) cleans the engine 3) neutralizes acids 4) improves sealing of piston rings, and 5) cools the engine."	"engine oil|engine lubricant"					"http://purl.obolibrary.org/obo/ENVO_03510005"
"motor vehicle"	"A motor vehicle is a vehicle which is propelled by an engine or motor and that does not operate on rails."						"http://purl.obolibrary.org/obo/ENVO_01000601"
"motorcycle"	"A motorcycle is a two- or three-wheeled motor vehicle."	"motorbike|moto"	"cycle|bike"				"http://purl.obolibrary.org/obo/ENVO_01000615"
"motorscooter"	"A scooter or motor scooter is a motorcycle with step-through frame and a platform for the rider's feet."	"motor scooter"	"scooter"				"http://purl.obolibrary.org/obo/ENVO_01000616"
"mound"	"A rounded elevated area."				"mound|mount"		"http://purl.obolibrary.org/obo/ENVO_00000180"
"mount"	"A mountain or a hill."				"dome|monadnock|cerro|koppje|cerrito"		"http://purl.obolibrary.org/obo/ENVO_00000477"
"mountain"	"A landform that extends above the surrounding terrain in a limited area."	"Mountain"			"mountains"	"http://purl.obolibrary.org/obo/ENVO_03605014|http://purl.obolibrary.org/obo/envo#envoPolar|http://purl.obolibrary.org/obo/ENVO_03605023"	"http://purl.obolibrary.org/obo/ENVO_00000081"
"mountain forest soil"	"Soil which is part of a forest growing on a mountain."					"http://purl.obolibrary.org/obo/ENVO_03605015"	"http://purl.obolibrary.org/obo/ENVO_00005769"
"mountain pass"	"A lower point that allows easier access through a mountain range. A pass has the general form of a saddle between two mountains."	"pass"			"saddle (physiographic)|col|sill (physiographic)|pass|defile|gap|notch|saddle"	"http://purl.obolibrary.org/obo/envo#envoPolar"	"http://purl.obolibrary.org/obo/ENVO_00000084"
"mountain range"	"A range of mounts which is dominated by mountains."				"mountain chain|cordillera|sierra|mountain group"	"http://purl.obolibrary.org/obo/envo#envoPolar"	"http://purl.obolibrary.org/obo/ENVO_00000080"
"mountain spur"	"A spur which is part of a mountain."						"http://purl.obolibrary.org/obo/ENVO_00000390"
"mountain-gap wind"	"A jet-effect which passes through a gap, constriction, or channel between mountains in a mountain range or between ranges themselves."			"kossava|tehuantepecer|düsenwind"		"http://purl.obolibrary.org/obo/envo#envoAtmo"	"http://purl.obolibrary.org/obo/ENVO_01001731"
"mouth environment"	"An environment that is determined by a mouth."					"http://purl.obolibrary.org/obo/envo#envoMeo"	"http://purl.obolibrary.org/obo/ENVO_08000002"
"mouth of a watercourse"	"The exit or point of discharge of a stream into another stream, lake or sea."		"MOUTH"		"outlet"		"http://purl.obolibrary.org/obo/ENVO_00000479"
"mouth of liquid discharge conduit"	"A site at the terminus of a liquid conveyance conduit where the liquid carried is discharged into the sea or a river."		"overfall"				"http://purl.obolibrary.org/obo/ENVO_01000864"
"movie theater"	"A commercial building which contains auditoria for viewing films."	"picture house|cinema hall|cinema"					"http://purl.obolibrary.org/obo/ENVO_03501232"
"mucus material"	"A bodily fluid material which is composed primarily of mucus, a bodily fluid consisting of a slippery secretion of the lining of the mucous membranes in the body. It is a viscous colloid containing antiseptic enzymes (such as lysozyme) and immunoglobulins. Mucus is produced by goblet cells in the mucous membranes that cover the surfaces of the membranes. It is made up of mucins and inorganic salts suspended in water."						"http://purl.obolibrary.org/obo/ENVO_02000040"
"mud"	"An environmental material which is a liquid or semi-liquid mixture of water and some combination of soil, silt, and clay particles."						"http://purl.obolibrary.org/obo/ENVO_01000001"
"mud exterior wall"	"A mud exterior wall is an exterior wall that is composed primarily of mud."		"mud wall"				"http://purl.obolibrary.org/obo/ENVO_01000497"
"mud volcano"	"A volcano created by geologically excreted liquids and gases, although there are several different processes which may cause such activity. Temperatures are much cooler than igneous processes."					"http://purl.obolibrary.org/obo/ENVO_03605025|http://purl.obolibrary.org/obo/ENVO_03605018"	"http://purl.obolibrary.org/obo/ENVO_00000402"
"muddy soil"	"Soil which is composed of a large proportion of mud, thus having properties resembling mud."					"http://purl.obolibrary.org/obo/ENVO_03605015"	"http://purl.obolibrary.org/obo/ENVO_00005771"
"muddy water"						"http://purl.obolibrary.org/obo/ENVO_03605019"	"http://purl.obolibrary.org/obo/ENVO_00005793"
"mudflat"	"A wetland that forms when mud is deposited by the tides, rivers, sea or oceans."	"mud flat"	"wetland"		"mud flat"	"http://purl.obolibrary.org/obo/ENVO_03605014"	"http://purl.obolibrary.org/obo/ENVO_00000192"
"mudflow"	"A mudflow is a form of mass wasting which involves very rapid to extremely rapid surging flow of debris that has become partially or fully liquified by the addition of significant amounts of water to clay-rich source material."	"mud flow"				"http://purl.obolibrary.org/obo/envo#environmental_hazards"	"http://purl.obolibrary.org/obo/ENVO_01000697"
"mudslide"						"http://purl.obolibrary.org/obo/envo#environmental_hazards"	"http://purl.obolibrary.org/obo/ENVO_01000695"
"mudstone"	"A mudstone is a clastic sedimentary rock which contains a mixture of at least one third of silt- and one third of clay-sized particles."						"http://purl.obolibrary.org/obo/ENVO_01000272"
"multiple vortex tornado"	"A tornado which comprises two or more columns of spinning air rotating about their own axis and at the same time around a common center."						"http://purl.obolibrary.org/obo/ENVO_01001485"
"multiplet tectonic earthquake"	"A tectonic earthquake which has two or more mainshocks of similar magnitude, and which originate from the same fracture zone and stress field."		"multiplet earthquake"				"http://purl.obolibrary.org/obo/ENVO_01001777"
"multipurpose dam"	"A dam constructed for more than one purpose."						"http://purl.obolibrary.org/obo/ENVO_00000553"
"multiyear ice"	"Sea ice which is thicker than second year ice, and has survived more than two seasonal melting process."					"http://purl.obolibrary.org/obo/envo#envoPolar|http://purl.obolibrary.org/obo/ENVO_03605019"	"http://purl.obolibrary.org/obo/ENVO_03000073"
"multiyear ice formation process"	"A sea ice formation process during which seawater freezes into second year ice during the cold season, forming multiyear ice."					"http://purl.obolibrary.org/obo/envo#envoPolar"	"http://purl.obolibrary.org/obo/ENVO_03000062"
"municipal landfill"	"A landfill that receives household waste."						"http://purl.obolibrary.org/obo/ENVO_02000157"
"mushroom compost"	"A compost which generally consists of a combination of wheat straw, dried blood, horse manure and ground chalk, composted together and is the residual compost waste generated by industrial mushroom production."						"http://purl.obolibrary.org/obo/ENVO_00003033"
"mushroom environment"							"http://purl.obolibrary.org/obo/ENVO_01000929"
"mussel bed"	"A marine faunal bed which is dominated by mussels of the Mytilus or Modiolus genera either 1) resting on the sediment surface, 2)  partially embedded in the sediment, 3) attached to conspecifics (by using their byssal threads), or 4) attached to a piece of gravel in slightly gravelly fine sediments."					"http://purl.obolibrary.org/obo/envo#envoMarine|http://purl.obolibrary.org/obo/envo#envoCmecs"	"http://purl.obolibrary.org/obo/ENVO_01001379"
"mussel gill tissue material"							"http://purl.obolibrary.org/obo/ENVO_01001392"
"mussel reef"	"A marine reef which is primarily composed of self-adhered or conglomerated mussel shells."					"http://purl.obolibrary.org/obo/envo#envoMarine|http://purl.obolibrary.org/obo/envo#envoCmecs"	"http://purl.obolibrary.org/obo/ENVO_01001386"
"mycetome"	"A specialized organ that is linked to the gut in beetles and host to a symbiotic yeast. The yeast cells assist in the digestion of less nutritious foods, supply needed B-vitamins and sterols, and provide resistance to certain toxins."						"http://purl.obolibrary.org/obo/ENVO_01000166"
"mylar"	"A polyester film made from stretched polyethylene terephthalate (PET)."	"BoPET (Biaxially-oriented polyethylene terephthalate)"					"http://purl.obolibrary.org/obo/ENVO_03501306"
"nanoplastic particle"	"A piece of plastic which has a diameter less than 1 micrometre."					"http://purl.obolibrary.org/obo/envo#envoPlastics"	"http://purl.obolibrary.org/obo/ENVO_06105105"
"naphtha"	"A flammable liquid hydrocarbon mixture produced from natural gas condensates, petroleum distillates, and the distillation of coal tar and peat."						"http://purl.obolibrary.org/obo/ENVO_03510035"
"naphthalene enriched sediment"	"Organically enriched sediment which has increased levels of naphthalene."						"http://purl.obolibrary.org/obo/ENVO_00002180"
"national geopolitical entity"	"A political association with effective dominion over a geographic area."	"nation"		"independent nation|independent political entity|independent sovereign nation"	"country|political entity|state"		"http://purl.obolibrary.org/obo/ENVO_00000009"
"national wildlife refuge"	"A designation for certain protected areas of the United States managed by the United States Fish and Wildlife Service. The National Wildlife Refuge system is a network of lands and waters managed to protect wildlife and wildlife habitat."						"http://purl.obolibrary.org/obo/ENVO_00000364"
"natural arch"	"A natural formation where a rock arch forms, with a natural passageway through underneath."	"natural bridge|arches (natural formation)"			"sea arch"		"http://purl.obolibrary.org/obo/ENVO_00000414"
"natural bee hive"	"A bee hive that occurs naturally without human intervention, typically found in environments such as tree cavities, rock crevices, or underground burrows."						"http://purl.obolibrary.org/obo/ENVO_02000166"
"natural environment"	"An environmental system in which minimal to no anthropisation has occurred and non-human agents are the primary determinants of the system's dynamics and composition."						"http://purl.obolibrary.org/obo/ENVO_01000951"
"natural gas"	"Natural gas is a hydrocarbon gas mixture consisting primarily of methane, but commonly includes varying amounts of other higher alkanes and sometimes a usually lesser percentage of carbon dioxide, nitrogen, and/or hydrogen sulfide. Natural gas is a fossil fuel formed when layers of buried plants and gases are exposed to intense heat and pressure over thousands of years."						"http://purl.obolibrary.org/obo/ENVO_01000552"
"natural gas processing plant"	"A refinery which is capable of processing natural gas. Natural-gas processing encompasses a range of industrial processes designed to purify raw natural gas by removing impurities, contaminants and higher molecular mass hydrocarbons to produce what is known as pipeline quality dry natural gas"						"http://purl.obolibrary.org/obo/ENVO_02000144"
"natural harbor"	"A harbor which is formed by a natural landform where a part of a body of water is protected and deep enough to furnish anchorage."	"natural harbour"				"http://purl.obolibrary.org/obo/envo#envoPolar"	"http://purl.obolibrary.org/obo/ENVO_00000465"
"natural lake"	"A lake which has formed as the result of processes that are not or are only minimally driven by human activity."						"http://purl.obolibrary.org/obo/ENVO_01001022"
"natural monument"	"A natural environment which has been designated by a competent authority as having outstanding or unique value because of its rarity, aesthetic qualities, or cultural significance."		"monument"				"http://purl.obolibrary.org/obo/ENVO_00000359"
"natural nuclear fission reactor"	"A uranium deposit where self-sustaining nuclear chain reactions have occurred."						"http://purl.obolibrary.org/obo/ENVO_02000151"
"natural plastic"	"Plastic which is composed primarily of polymers produced by processes whose agents do not include humans or their technologies."					"http://purl.obolibrary.org/obo/envo#envoPlastics"	"http://purl.obolibrary.org/obo/ENVO_06105111"
"natural wax"	"A wax that is naturally synthesized by a plant or animal."						"http://purl.obolibrary.org/obo/ENVO_02000117"
"natural-based polymer"	"Macromolecules that are obtained naturally from plants or animals."						"http://purl.obolibrary.org/obo/ENVO_03501303"
"nautical squall"	"A storm which is nautical, localised, and of high severity local storm considered as a whole: that is, winds and cloud mass and (if any) precipitation, thunder and lightning."					"http://purl.obolibrary.org/obo/envo#envoAtmo"	"http://purl.obolibrary.org/obo/ENVO_01001729"
"navigation canal"	"Artificial watercourse with no flow or a controlled flow used navigation."			"navigation canal"	"navigation channel|ship cannal"		"http://purl.obolibrary.org/obo/ENVO_00000048"
"near-infrared radiation"	"An infrared radiation during which waves with frequencies between 120 THz and 400 THz and with wavelengths between 2.5 micrometers and 750 nanometers are emitted by a source."						"http://purl.obolibrary.org/obo/ENVO_03500014"
"nebula"	"An interstellar cloud of dust, hydrogen, helium and other ionized gases"					"http://purl.obolibrary.org/obo/envo#envoAstro"	"http://purl.obolibrary.org/obo/ENVO_01000806"
"necromass"	"Biomass which is composed primarily of dead organisms, their parts, or their organic derivatives."	"dead biomass|dead biological matter"					"http://purl.obolibrary.org/obo/ENVO_01001395"
"needleleaf forest"		"coniferous forest"				"http://purl.obolibrary.org/obo/ENVO_03605014"	"http://purl.obolibrary.org/obo/ENVO_01000433"
"neonatal intensive care unit"	"An intensive care unit (ICU) specializing in the care of ill or premature newborn infants."	"intensive care nursery|NICU|ICN"					"http://purl.obolibrary.org/obo/ENVO_03600067"
"neonatal intensive care unit facility"	"A hospital unit facility which is used to provide intensive neonatal medical care."	"neonatal intensive care ward"					"http://purl.obolibrary.org/obo/ENVO_03501160"
"neonatal unit facility"	"A hospital unit facility which is used to provide neonatal medical services."	"neonatal ward|NU"					"http://purl.obolibrary.org/obo/ENVO_03501159"
"nephrology unit facility"	"A hospital unit facility which is used to provide nephrological medical services."	"general nephrology unit|nephrology ward|general renal ward|general renal unit|generalnephrology ward|renal ward|renal unit"					"http://purl.obolibrary.org/obo/ENVO_03501161"
"neritic epipelagic zone biome"	"The neritic epipelagic zone biome comprises the marine water column that occurs above a continental shelf and extends from the surface of the ocean to a depth of ca. 200-250m. Throughout the zone the light field tends to be asymmetrical vertically, so that the direction and elevation of the sun can still be detected. The epipelagic zone encompasses the euphotic zone and, where and when it occurs, the seasonal thermocline."					"http://purl.obolibrary.org/obo/ENVO_03605017|http://purl.obolibrary.org/obo/ENVO_03605022"	"http://purl.obolibrary.org/obo/ENVO_01000042"
"neritic mesopelagic zone biome"	"The neritic mesopelagic zone biome comprises the marine column that occurs above a continental shelf and extends from approximately 200 to 1000 m depth - the maximal depth of light penetration in all but the clearest oligotrophic ocean regions. In comparison to the epipelagic zone, dominant forms of pelagic organisms do not change very much; however, there are marked changes in species composition and the proportion of smaller-sized individuals decreases."					"http://purl.obolibrary.org/obo/ENVO_03605022|http://purl.obolibrary.org/obo/ENVO_03605017"	"http://purl.obolibrary.org/obo/ENVO_01000043"
"neritic mussel bed"	"A mussel bed which is located in benthic regions that are part of a continental shelf."					"http://purl.obolibrary.org/obo/envo#envoMarine|http://purl.obolibrary.org/obo/envo#envoCmecs"	"http://purl.obolibrary.org/obo/ENVO_01001389"
"neritic mussel reef"	"A marine reef which is located on a shelf (i.e. in the neritic zone) and primarily composed of self-adhered or conglomerated mussel shells."					"http://purl.obolibrary.org/obo/envo#envoMarine|http://purl.obolibrary.org/obo/envo#envoCmecs"	"http://purl.obolibrary.org/obo/ENVO_01001380"
"neritic pelagic zone biome"	"The neritic epipelagic zone biome comprises the marine water column above a continental shelf."					"http://purl.obolibrary.org/obo/ENVO_03605017|http://purl.obolibrary.org/obo/ENVO_03605022"	"http://purl.obolibrary.org/obo/ENVO_01000032"
"neritic sea surface microlayer biome"	"The neritic sea surface microlayer (SML) biome comprises the top 1000 micrometers of marine surface waters occurring above a continental shelf. It is the boundary layer where all exchange occurs between the atmosphere and the ocean. The chemical, physical, and biological properties of the SML differ greatly from the sub-surface water just a few centimeters beneath."					"http://purl.obolibrary.org/obo/ENVO_03605022|http://purl.obolibrary.org/obo/ENVO_03605017"	"http://purl.obolibrary.org/obo/ENVO_01000041"
"nest of alligator"	"An animal habitation which is built by alligators from plants and decomposing vegetation in order to protect their eggs from predators."	"alligator nest"					"http://purl.obolibrary.org/obo/ENVO_03600069"
