?label	?exact	?broad	?narrow	?related	?subset	?uri
"coconut plantation"				"coconut grove"		"http://purl.obolibrary.org/obo/ENVO_00000118"
"coconut plantation"				"wood"		"http://purl.obolibrary.org/obo/ENVO_00000118"
"coffee plantation"						"http://purl.obolibrary.org/obo/ENVO_00000163"
"coke"						"http://purl.obolibrary.org/obo/ENVO_2000044"
"cold desert"					"envoPolar"	"http://purl.obolibrary.org/obo/ENVO_01000382"
"cold environment"					"envoPolar"	"http://purl.obolibrary.org/obo/ENVO_01000309"
"cold front"					"envoAtmo"	"http://purl.obolibrary.org/obo/ENVO_01001706"
"cold monomictic lake"						"http://purl.obolibrary.org/obo/ENVO_01000289"
"cold occluded front"					"envoAtmo"	"http://purl.obolibrary.org/obo/ENVO_01001715"
"cold polymictic lake"						"http://purl.obolibrary.org/obo/ENVO_01000291"
"cold season"					"envoPolar"	"http://purl.obolibrary.org/obo/ENVO_03000098"
"cold seep"	"hydrocarbon seep"					"http://purl.obolibrary.org/obo/ENVO_01000263"
"cold seep"	"methane seep"					"http://purl.obolibrary.org/obo/ENVO_01000263"
"cold surface current"						"http://purl.obolibrary.org/obo/ENVO_01000102"
"cold-blast paraffin lantern"						"http://purl.obolibrary.org/obo/ENVO_01000571"
"collapse-driven seismic vibration"						"http://purl.obolibrary.org/obo/ENVO_01001766"
"colloid suspended in a hydrosphere"						"http://purl.obolibrary.org/obo/ENVO_01001647"
"colloidal sediment"						"http://purl.obolibrary.org/obo/ENVO_01000121"
"colloidal suspension"		"colloid"				"http://purl.obolibrary.org/obo/ENVO_01001560"
"combustion process"						"http://purl.obolibrary.org/obo/ENVO_01000839"
"commercial building"						"http://purl.obolibrary.org/obo/ENVO_01001222"
"compaction process"					"envoPolar"	"http://purl.obolibrary.org/obo/ENVO_03000008"
"complex volcano"	"compound volcano"					"http://purl.obolibrary.org/obo/ENVO_00000371"
"composition of soil"	"soil composition"					"http://purl.obolibrary.org/obo/ENVO_09200008"
"composition of water"	"water composition"					"http://purl.obolibrary.org/obo/ENVO_09200017"
"compost"						"http://purl.obolibrary.org/obo/ENVO_00002170"
"compost biofilter"						"http://purl.obolibrary.org/obo/ENVO_00002153"
"compost soil"						"http://purl.obolibrary.org/obo/ENVO_00005747"
"composted animal manure"						"http://purl.obolibrary.org/obo/ENVO_01001119"
"composting toilet"						"http://purl.obolibrary.org/obo/ENVO_01000550"
"compound astronomical body part"						"http://purl.obolibrary.org/obo/ENVO_01001784"
"compressed biogas"						"http://purl.obolibrary.org/obo/ENVO_01000559"
"compressed natural gas"						"http://purl.obolibrary.org/obo/ENVO_01000555"
"concentration basin mediterranean sea biome"						"http://purl.obolibrary.org/obo/ENVO_01000004"
"concentration of Adenosine 5-triphosphate in liquid water"	"liquid water Adenosine 5-triphosphate concentration"					"http://purl.obolibrary.org/obo/ENVO_3100001"
"concentration of Guanosine 5-triphosphate in liquid water"	"liquid water Guanosine 5-triphosphate concentration"					"http://purl.obolibrary.org/obo/ENVO_3100015"
"concentration of alloxanthine in liquid water"	"liquid water alloxanthine concentration"					"http://purl.obolibrary.org/obo/ENVO_3100002"
"concentration of alpha-carotene in liquid water"	"liquid water alpha-carotene concentration"					"http://purl.obolibrary.org/obo/ENVO_3100003"
"concentration of ammonium in liquid water"	"liquid water ammonium concentration"					"http://purl.obolibrary.org/obo/ENVO_3100004"
"concentration of ammonium in soil"	"soil ammonium concentration"					"http://purl.obolibrary.org/obo/ENVO_09200006"
"concentration of bacteriochlorophyll a in liquid water"	"liquid water bacteriochlorophyll a concentration"					"http://purl.obolibrary.org/obo/ENVO_3100005"
"concentration of beta-carotene in liquid water"	"liquid water beta-carotene concentration"					"http://purl.obolibrary.org/obo/ENVO_3100006"
"concentration of bromine in lake water"	"lake water bromine concentration"					"http://purl.obolibrary.org/obo/ENVO_3200002"
"concentration of bromine in snow"	"snow bromine concentration"					"http://purl.obolibrary.org/obo/ENVO_3200040"
"concentration of bromine in water ice"	"water ice bromine concentration"					"http://purl.obolibrary.org/obo/ENVO_3200021"
"concentration of carbon atom in environmental material"	"environmental material carbon atom concentration"					"http://purl.obolibrary.org/obo/ENVO_09000007"
"concentration of carbon atom in soil"	"soil carbon atom concentration"					"http://purl.obolibrary.org/obo/ENVO_09000008"
"concentration of carbon atom in water"	"water carbon atom concentration"					"http://purl.obolibrary.org/obo/ENVO_09000009"
"concentration of carbon dioxide in air"					"envoNceas"	"http://purl.obolibrary.org/obo/ENVO_04000004"
"concentration of carbon dioxide in freshwater"					"envoNceas"	"http://purl.obolibrary.org/obo/ENVO_04000005"
"concentration of carbon dioxide in seawater"					"envoNceas"	"http://purl.obolibrary.org/obo/ENVO_04000006"
"concentration of carbon dioxide in soil"					"envoNceas"	"http://purl.obolibrary.org/obo/ENVO_04000003"
"concentration of carotene in liquid water"	"liquid water carotene concentration"					"http://purl.obolibrary.org/obo/ENVO_3100007"
"concentration of cerium in lake water"	"lake water cerium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200003"
"concentration of cerium in snow"	"snow cerium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200041"
"concentration of cerium in water ice"	"water ice cerium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200022"
"concentration of chloride in water"	"water chloride concentration"					"http://purl.obolibrary.org/obo/ENVO_09000019"
