?label	?subset	?def	?cls
"environmental zone"	"envoPolar"	"An environmental zone is an environmental feature whose extent is determined by the presence or influence of one or more material entities or processes. An environmental zone may, itself, assume the role of an environmental feature."	<http://purl.obolibrary.org/obo/ENVO_01000408>
"permanent marine thermocline"	"envoPolar"	"The permanent marine thermocline describes a marine thermocline found in temperate to tropical latitudes, which marks the transition between warm waters and cold deep waters. The permanent thermocline separates the marine cold-water sphere and the marine warm-water sphere"	<http://purl.obolibrary.org/obo/ENVO_01000106>
"atmospheric boundary layer"	"envoPolar"	"The atmospheric boundary layer is the lowest layer of an atmosphere which is strongly influenced by its contact with a planetary surface with strong vertical mixing and in which physical quantities such as flow velocity, temperature, and moisture display rapid fluctuations (turbulence).\n\n\n"	<http://purl.obolibrary.org/obo/ENVO_01000323>
"areal flooding"@en	"environmental_hazards"	"Areal flooding is a flooding process in which flat or low-lying areas become inundated with water due to water input exceeding infiltration, evaporation, or run off."	<http://purl.obolibrary.org/obo/ENVO_01000717>
"important site"@en	"envoPolar"	"An environmental zone which contains, as determined by an officially mandated selection process, one or more ecosystems which include, as parts, ecological communities of global significance for conservation due to their vulnerability and irreplaceability."	<http://purl.obolibrary.org/obo/ENVO_01000778>
"iceberg calving process"@en	"envoPolar"	"A process during which a part of a glacier breaks away from the main mass as an iceberg."	<http://purl.obolibrary.org/obo/ENVO_03000031>
"illuminated biosphere part"@en	"envoPolar"	"An astronomical body part which includes those parts of a biosphere that are, at least periodically, illuminated and in which photosynthesis may occur."	<http://purl.obolibrary.org/obo/ENVO_01000823>
"carbon cycling"	"envoPolar"		<http://purl.obolibrary.org/obo/ENVO_02500010>
"methane gas emission process"@en	"envoPolar"	"A hydrocarbon gas emission process during which a portion of methane gas is transported into the atmosphere."	<http://purl.obolibrary.org/obo/ENVO_03000094>
"dirt cone"	"envoPolar"	"A feature of a glacier, in which dirt, which has fallen into a hollow in the ice, forms a coating which insulates the ice below. The surrounding ice melts away, leaving the dirt cone."	<http://purl.obolibrary.org/obo/ENVO_00000430>
"permafrost thawing process"@en	"envoPolar"	"A process during which permafrost is warmed such that a portion of its constituent water ice is converted into meltwater."	<http://purl.obolibrary.org/obo/ENVO_03000086>
"ice ablation zone"@en	"envoPolar"	"An ablation zone in which an ice ablation process occurs."	<http://purl.obolibrary.org/obo/ENVO_03000037>
"harbor"	"envoPolar"	"A place where ships may shelter from the weather or are stored."	<http://purl.obolibrary.org/obo/ENVO_00000463>
"area of developed open space"@en	"nlcd2011"	"An area of a planet's surface which is primarily covered by cultivated or anthropically maintained vegetation planted for recreation, erosion control, or aesthetic purposes interspersed by constructed or manufactured objects and materials. This area is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	<http://purl.obolibrary.org/obo/ENVO_01000883>
"marine biome"	"envoPolar"	"An aquatic biome that comprises systems of open-ocean and unprotected coastal habitats, characterized by exposure to wave action, tidal fluctuation, and ocean currents as well as systems that largely resemble these. Water in the marine biome is generally within the salinity range of seawater: 30 to 38 ppt."	<http://purl.obolibrary.org/obo/ENVO_00000447>
"montane shrubland biome"	"wwfBiome"	"A montane shrubland biome is a shrubland biome which occurs in regions elevated above sea level and which has community structure determined by elevation-dependent environmental conditions."	<http://purl.obolibrary.org/obo/ENVO_01000216>
"riverine flood"@en	"environmental_hazards"	"A riverine flood is a flood which is formed as a result of a river's flow rate exceeding the capacity of its channel."	<http://purl.obolibrary.org/obo/ENVO_01000712>
"nival"	"envoPolar"	"A nival condition is an environmental condition in which vegetation is extremely limited, soils are silica enriched, and ground cover is dominated by snow and ice at altitudes above the snowline."	<http://purl.obolibrary.org/obo/ENVO_01000344>
"ground moraine"	"envoPolar"	"A till covered area with irregular topography and no ridges, often forming gently rolling hills or plains. Forms by the accumulation of till under the ice by lodgement, but may also be deposited as the glacier retreats."	<http://purl.obolibrary.org/obo/ENVO_00000251>
"desert"	"envoPolar"	"A region rendered barren or partially barren by environmental extremes, especially by low rainfall."	<http://purl.obolibrary.org/obo/ENVO_00000097>
"fumarole-derived ice tower"@en	"envoPolar"	"A hollow tower of ice formed by the freezing of steam escaping a fumarole."	<http://purl.obolibrary.org/obo/ENVO_01000754>
"fjord lake"	"envoPolar"	"A lake in a glacially eroded valley, which has been eroded below sea level."	<http://purl.obolibrary.org/obo/ENVO_00000201>
"erosionally enriched glacial ice"@en	"envoPolar"	"Glacial ice which contains material liberated during a glacial erosion process."	<http://purl.obolibrary.org/obo/ENVO_03000005>
"ground blizzard"@en	"environmental_hazards"	"A ground blizzard is a storm during which snow which has settled on a planetary surface is resuspended in and transported through its atmosphere by strong winds, sustained for several hours."	<http://purl.obolibrary.org/obo/ENVO_01000904>
"frazil ice"@en	"envoPolar"	"New ice which is composed of small, needle-like crystals consisting of nearly pure fresh water."	<http://purl.obolibrary.org/obo/ENVO_03000046>
"seasonal melting process"@en	"envoPolar"	"A material transformation process during which a material entity melts during a warm season."	<http://purl.obolibrary.org/obo/ENVO_03000099>
"oceanic crust"@en	"envoPolar"	"Oceanic crust is the uppermost layer of the oceanic portion of a tectonic plate."	<http://purl.obolibrary.org/obo/ENVO_01000749>
"lake inlet"	"envoPolar"	"An opening of a lake into its shore."	<http://purl.obolibrary.org/obo/ENVO_00000476>
"calving of ice from an iceberg"@en	"envoPolar"	"A process during which a part of a glacier breaks away from the main mass as an iceberg."	<http://purl.obolibrary.org/obo/ENVO_03000032>
"large river delta biome"	"wwfBiome"		<http://purl.obolibrary.org/obo/ENVO_00000889>
"mass wasting"@en	"environmental_hazards"	"Mass wasting is the geomorphic process by which solid environmental material such as soil, sand, regolith, and/or rock move downslope typically as a mass, largely under the force of gravity, but frequently affected by water and water content as in submarine environments and mudslides."	<http://purl.obolibrary.org/obo/ENVO_01000690>
"atmospheric storm"@en	"environmental_hazards"	"An atmospheric storm is a process in which a portion of an astronomical body's atmosphere is strongly perturbed from its prevaling weather."	<http://purl.obolibrary.org/obo/ENVO_01000877>
"explosive eruption"@en	"environmental_hazards"	"An explosive eruption is a volcanic process in which pressurised magma is violently expelled and froths into volcanic ash. Explosive eruptions can eject a cloud of rocks, dust, gas, and pyroclastic material  which may then collapse, creating a pyroclastic flow of hot volcanic matter."	<http://purl.obolibrary.org/obo/ENVO_01000655>
"flooded grassland biome"	"wwfBiome"		<http://purl.obolibrary.org/obo/ENVO_01000195>
"plant-associated habitat"	<http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC>	"A habitat that is in or on a living plant. Here \"plant\" denotes an individual of a species that is a sub-taxon of NCBITaxon:33090 (viridiplantae)."	<http://purl.obolibrary.org/obo/ENVO_00009001>
"tectonic earthquake"@en	"environmental_hazards"	"A tectonic earthquake is an earthquake caused by the release of elastic strain. A tectonic earthquake occurs when strains in rock masses have accumulated to a point where the resulting stresses exceed the strength of the rocks, and sudden fracturing results."	<http://purl.obolibrary.org/obo/ENVO_01000678>
"alpine soil"	"envoPolar"		<http://purl.obolibrary.org/obo/ENVO_00005741>
"mountain pass"	"envoPolar"	"A lower point that allows easier access through a mountain range. A pass has the general form of a saddle between two mountains."	<http://purl.obolibrary.org/obo/ENVO_00000084>
"mass wasting flow"@en	"environmental_hazards"	"A mass wasting flow is a form of mass wasting during which the moving materials behave similarly to a flowing fluid. Water, air and ice are often involved in enabling fluidlike motion of the material."	<http://purl.obolibrary.org/obo/ENVO_01000696>
"glacial ice thrusting"@en	"envoPolar"	"Glacial ice thrusting is an erosional process during which a moving glacier which has frozen to its bed surges forward and moves large sheets of sediment frozen to the glacial mass."	<http://purl.obolibrary.org/obo/ENVO_01000684>
"subtropical coniferous forest biome"	"wwfBiome"		<http://purl.obolibrary.org/obo/ENVO_01000209>
"methane-sourced permafrost crater"@en	"envoPolar"	"A crater which is found in permafrost and formed as a result of an explosion fuelled by methane formerly contained in that permafrost."	<http://purl.obolibrary.org/obo/ENVO_03000089>
"marine current"	"envoPolar"	"A marine current is a continuous, directed movement of marine water generated by the forces acting upon this mean flow, such as breaking waves, wind, Coriolis force, temperature and salinity differences and tides caused by the gravitational pull of the Moon and the Sun. Depth contours, shoreline configurations and interaction with other currents influence a current's direction and strength."	<http://purl.obolibrary.org/obo/ENVO_01000067>
"area of evergreen forest"@en	"nlcd2011"	"An area of a planet's surface which is primarily covered by a forest in which the majority of trees maintain their foliage despite seasonal change. The surfaces of this area (including the surface of the forest canopy) are in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	<http://purl.obolibrary.org/obo/ENVO_01000843>
"multiyear ice formation process"@en	"envoPolar"	"A sea ice formation process during which seawater freezes into second year ice during the cold season, forming multiyear ice."	<http://purl.obolibrary.org/obo/ENVO_03000062>
"ice shelf"	"envoPolar"	"A thick, floating platform of ice that forms where a glacier or ice mass flows down to a coastline and onto the ocean surface."	<http://purl.obolibrary.org/obo/ENVO_00000380>
"intercloud lightning"@en	"environmental_hazards"	"A lightning process during which electrostatic discharge occurs between at least two clouds."	<http://purl.obolibrary.org/obo/ENVO_01000899>
"nivation"@en	"envoPolar"	"A material transformation process during which recently precipitated, powdery snow transitions into firn or n̩v̩ through compaction and/or through cycles of freezing and thawing."	<http://purl.obolibrary.org/obo/ENVO_03000003>
"urban flooding"@en	"environmental_hazards"	"Urban flooding is a flooding process in which land or property in a built environment, particularly in more densely populated areas, is inundated due to the rate of water input exceeding that of water drainage provided by the environment's drainage systems."	<http://purl.obolibrary.org/obo/ENVO_01000718>
"active geological fault"@en	"environmental_hazards"	"An active fault is a fault that is likely to become the source of another earthquake sometime in the future. Geologists commonly consider faults to be active if there has been movement observed or evidence of seismic activity during the last 10,000 years."	<http://purl.obolibrary.org/obo/ENVO_01000669>
"polar"	"envoPolar"	"A polar condition is an environmental condition in which an environmental system receives low, yearly solar irradiance per unit area, resulting in colder climatic conditions. On Earth, polar conditions are such that every month has average temperature lower than 10 degrees Celsius."	<http://purl.obolibrary.org/obo/ENVO_01000238>
"anaerobic sediment"	"envoPolar"	"Sediment characterised by the absence of oxygen."	<http://purl.obolibrary.org/obo/ENVO_00002045>
"polar biome"	"envoPolar"	"A biome which has the environmental condition polar"	<http://purl.obolibrary.org/obo/ENVO_01000339>
"sea ice formation process"@en	"envoPolar"	"A material transformation process during which seawater freezes into sea ice."	<http://purl.obolibrary.org/obo/ENVO_03000044>
"cirque"	"envoPolar"	"A depression which is semicircular or crescent-shaped, found towards the crest of a mountain, and formed by the erosional processes caused by the motion of a glacier."	<http://purl.obolibrary.org/obo/ENVO_00000155>
"tundra mire"	"envoPolar"	"Peatlands with a shallow peat layer, only about 500 mm thick, dominated by sedges and grasses. They form in permafrost areas, covering around 110,000 to 160,000 km2 in Alaska, Canada, and the former USSR."	<http://purl.obolibrary.org/obo/ENVO_00000187>
"flooding"@en	"environmental_hazards"	"A general and temporary condition of partial or complete inundation of normally dry land areas from the overflow of inland and/or tidal waters, and/or the unusual and rapid accumulation or runoff of surface waters from any source. A great flow along a watercourse or a flow causing inundation of lands not normally covered by water."	<http://purl.obolibrary.org/obo/ENVO_02500002>
"marine neritic zone"	"envoPolar"	"The water mass of an ocean directly above a continental shelf."	<http://purl.obolibrary.org/obo/ENVO_00000206>
"freezing rainfall"@en	"environmental_hazards"	"Rainfall which occurs when the temperature of a planetary surface and its surrounding atmosphere are below the freezing point of water, resulting in supercooled raindrops which freeze upon impact with solid surfaces."	<http://purl.obolibrary.org/obo/ENVO_01000896>
"microbial mat"	<http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC>	"A multi-layered sheet of micro-organisms, mainly bacteria and archaea. Microbial mats grow at interfaces between different types of material, mostly on submerged or moist surfaces but a few survive in deserts."	<http://purl.obolibrary.org/obo/ENVO_01000008>
"ice rise"	"envoPolar"	"An ice rise is an elevation which is part of an ice shelf, typically dome shared, and formed by the ice shelf overriding an obstruction in the seabed. An ice rise may be adjacent only to an ice shelf, or to an ice shelf and a sea. For some features, properly ice rises, the term island has become established through usage."	<http://purl.obolibrary.org/obo/ENVO_00009686>
"tundra biome"	"envoPolar"	"A tundra is a terrestrial biome which includes, across its spatial extent, only low-growing vegetation such as dwarf shrubs, sedges and grasses, mosses, and lichens. Tundra biomes rarely have monthly average temperatures above 10 degrees Celsius and have low evapotranspiration ratios."	<http://purl.obolibrary.org/obo/ENVO_01000180>
"shuga"@en	"envoPolar"	"New ice, which is spongy, lumpy and opaque, and forms from water which freezes in an agitated water body."	<http://purl.obolibrary.org/obo/ENVO_03000075>
"area of perennial water ice"@en	"nlcd2011"	"An area of a planet's surface which is primarily composed of water ice, present throughout multiple years, in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	<http://purl.obolibrary.org/obo/ENVO_01000740>
"riverine flooding"@en	"environmental_hazards"	"Riverine flooding is a process in which the flow rate of river water exceeds the capacity of its channel, thus flooding neighbouring land. Bends and meanders in a river channel are particularly disposed to such flooding."	<http://purl.obolibrary.org/obo/ENVO_01000708>
"planetary photic zone"@en	"envoPolar"	"A planetary part which is exposed, at least periodically, to light."	<http://purl.obolibrary.org/obo/ENVO_01000822>
"atmospheric water vapour"	"envoPolar"	"Atmospheric water vapour is water vapour that is part of an atmosphere."	<http://purl.obolibrary.org/obo/ENVO_01000268>
"obsolete food product"	<http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC>		<http://purl.obolibrary.org/obo/ENVO_00002002>
"medial moraine"	"envoPolar"	"A moriane formed when the inside lateral moraines of two glaciers merge together. They form a ridge down the center of the combined glaciers."	<http://purl.obolibrary.org/obo/ENVO_00000250>
"permafrost methane explosion"@en	"envoPolar"	"An explosion during which methane-rich gas trapped in permafrost combusts."	<http://purl.obolibrary.org/obo/ENVO_03000091>
"effusive eruption"@en	"environmental_hazards"	"An effusive eruption is a volcanic eruption during which lava flows onto the ground."	<http://purl.obolibrary.org/obo/ENVO_01000656>
"hydrological condensation process"@en	"envoPolar"	"Hydrological condensation is a process in which atmospheric water vapour undergoes a phase transition from the gas phase to the liquid phase."	<http://purl.obolibrary.org/obo/ENVO_01000624>
"material transport process"@en	"envoPolar"	"A process during which material is displaced from it's original location and transported either to a new location or back to the original location."	<http://purl.obolibrary.org/obo/ENVO_03000010>
"freshwater habitat"	<http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC>	"A habitat that is in or on a body of water containing low concentrations of dissolved salts and other total dissolved solids (<0.5 grams dissolved salts per litre)."	<http://purl.obolibrary.org/obo/ENVO_00002037>
"environmental pollution"	"environmental_hazards"	"An environmental system process that results in the introduction of contaminants into an environment."	<http://purl.obolibrary.org/obo/ENVO_02500036>
"sea water environment"	"envoPolar"	"An environmental system determined by seawater."	<http://purl.obolibrary.org/obo/ENVO_01000321>
"lake channel"	"envoPolar"		<http://purl.obolibrary.org/obo/ENVO_00000397>
"debris flow"@en	"environmental_hazards"		<http://purl.obolibrary.org/obo/ENVO_01000698>
"fjord"	"envoPolar"	"A long and narrow sea inlet with high steeply sloped walled sides. A fjord is a landform created during a period of glaciation."	<http://purl.obolibrary.org/obo/ENVO_00000039>
"seasonal marine thermocline"	"envoPolar"	"The seasonal marine thermocline is a marine thermocline, which generally occurs below the marine wind mixed layer."	<http://purl.obolibrary.org/obo/ENVO_01000107>
"marine layer"	"envoPolar"	"A layer that is part of a marine water body."	<http://purl.obolibrary.org/obo/ENVO_01000295>
"cultured habitat"	<http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC>	"Cultured habitat is an controlled habitat created by humans through laboratory techniques usually for the purposes of preparing cell, organ, tissue and plant tissue cultures."	<http://purl.obolibrary.org/obo/ENVO_02000006>
"sea"	"envoPolar"	"A large expanse of saline water usually connected with an ocean."	<http://purl.obolibrary.org/obo/ENVO_00000016>
"clathrate material"@en	"envoPolar"	"A material which is primarily composed of a substance arranged as a lattice which can trap or contain other molecules."	<http://purl.obolibrary.org/obo/ENVO_01000850>
"sound"	"envoPolar"	"A large sea or ocean inlet larger than a bay, deeper than a bight, wider than a fjord, or it may identify a narrow sea or ocean channel between two bodies of land."	<http://purl.obolibrary.org/obo/ENVO_00000393>
"young ice formation process"@en	"envoPolar"	"A sea ice formation process during which water freezes to the bottom of an existing nilas ice floe creating a thicker ice floe known as young ice."	<http://purl.obolibrary.org/obo/ENVO_03000059>
"iron-reducing sediment"	"envoPolar"	"Sediment hosting and characterised by active iron reducing microbial communities."	<http://purl.obolibrary.org/obo/ENVO_01000152>
"waste water"	<http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC>	"Water that has been adversely affected in quality by anthropogenic influence."	<http://purl.obolibrary.org/obo/ENVO_00002001>
"intracloud lightning"@en	"environmental_hazards"	"A lightning process during which electrostatic discharge occurs within a single cloud."	<http://purl.obolibrary.org/obo/ENVO_01000900>
"sediment"	<http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC>	"Sediment is an environmental substance comprised of any particulate matter that can be transported by fluid flow and which eventually is deposited as a layer of solid particles on the bedor bottom of a body of water or other liquid."	<http://purl.obolibrary.org/obo/ENVO_00002007>
"fresh water"	"envoPolar"		<http://purl.obolibrary.org/obo/ENVO_00002011>
"area of scrub"@en	"nlcd2011"	""	<http://purl.obolibrary.org/obo/ENVO_01000869>
"thermokarst"@en	"envoPolar"	"An irregular land surface which consists of marshy hollows, hummocks, thermokarst depressions and thermokarst lakes formed from the erosion of ice-rich thawing permafrost areas."	<http://purl.obolibrary.org/obo/ENVO_03000085>
"grease ice layer"@en	"envoPolar"	"A layer which consists of a thin aggregate of frazil ice crystals, which float upon the surface of a water body."	<http://purl.obolibrary.org/obo/ENVO_03000074>
"climate change"@en	"envoPolar"	"The long-term fluctuations in temperature, precipitation, wind, and all other aspects of the Earth's climate. External processes, such as solar-irradiance variations, variations of the Earth's orbital parameters (eccentricity, precession, and inclination), lithosphere motions, and volcanic activity, are factors in climatic variation. Internal variations of the climate system, e.g., changes in the abundance of greenhouse gases, also may produce fluctuations of sufficient magnitude and variability to explain observed climate change through the feedback processes interrelating the components of the climate system."	<http://purl.obolibrary.org/obo/ENVO_01000629>
"water ice crystal"@en	"envoPolar"	"A crystal which is primarily composed of water ice."	<http://purl.obolibrary.org/obo/ENVO_01000846>
"altitudinal condition"	"envoPolar"	"An altitudinal condition is an environmental condition in which ranges of factors such as temperature, humidity, soil composition, solar irradiation, and tree density vary with ranges in altitude."	<http://purl.obolibrary.org/obo/ENVO_01000343>
"cold season"@en	"envoPolar"	"A season during which the average temperature of a planetary part is below that of all other seasons it endures during a season generating process."	<http://purl.obolibrary.org/obo/ENVO_03000098>
"peatland"	"envoPolar"	"A wetland type that accumulates acidic peat, a deposit of dead plant material."	<http://purl.obolibrary.org/obo/ENVO_00000044>
"tundra biome"	"wwfBiome"	"A tundra is a terrestrial biome which includes, across its spatial extent, only low-growing vegetation such as dwarf shrubs, sedges and grasses, mosses, and lichens. Tundra biomes rarely have monthly average temperatures above 10 degrees Celsius and have low evapotranspiration ratios."	<http://purl.obolibrary.org/obo/ENVO_01000180>
"marine pycnocline"	"envoPolar"	"The marine pycnocline describes a sharp change in the density of seawater (in relation to the gradients of the water mass surrounding it) in the marine water column. Pycnoclines are usually associated with thermo- and haloclines."	<http://purl.obolibrary.org/obo/ENVO_01000077>
"brine pool"	"envoPolar"	"MERGED DEFINITION:\nTARGET DEFINITION: A large area of brine on the ocean basin near cold seep vents which release methane into the water. These pools are concentrations of water having an extremely high salinity as compared to the surrounding ocean, caused by the motion of large salt deposits through salt tectonics.\n--------------------\nSOURCE DEFINITION: Marine brine pools are large areas of brine on the ocean basin. These pools are bodies of water that have a salinity three to five times greater than the surrounding ocean. For deep-sea brine pools the source of the salt is the dissolution of large salt deposits through salt tectonics. The brine often contains high concentrations of methane, providing energy to chemosynthetic animals that live near the pool."	<http://purl.obolibrary.org/obo/ENVO_00000369>
"ocean biome"	"envoPolar"	"The ocean biome comprises major bodies of saline water, principal components of the hydrosphere. Approximately 71% of the Earth's surface is covered by ocean, a continuous body of water that is customarily divided into several principal oceans and smaller seas. More than half of this area is over 3,000 metres (9,800 ft) deep. Average oceanic salinity is around 35 parts per thousand (ppt) (3.5%), and nearly all seawater has a salinity in the range of 30 to 38 ppt."	<http://purl.obolibrary.org/obo/ENVO_01000048>
"erosionally enriched ice"@en	"envoPolar"	"Water ice which contains material liberated during an erosion process."	<http://purl.obolibrary.org/obo/ENVO_03000025>
"soil pollution"	"envoPolar"	"A pollution process during which soil is contaminated."	<http://purl.obolibrary.org/obo/ENVO_02500038>
"area of woody wetland"@en	"nlcd2011"	"An area of a planet's surface which is partly covered by forest or shrubland vegetation and where the underlying soil or substrate is periodically saturated with or covered by water. This area is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	<http://purl.obolibrary.org/obo/ENVO_01000893>
"deep marine sediment"	"envoPolar"	"Sediment that accumulates in the flat or very gently sloping areas of the deep ocean basin floor. The three main types of deep marine sediment, also known as pelagic sediment, are siliceous oozes, calcareous oozes, and red clays."	<http://purl.obolibrary.org/obo/ENVO_00002113>
"lava flow process"@en	"environmental_hazards"	"A process in which a volume of lava emitted during an effusive eruption moves along a solid surface."	<http://purl.obolibrary.org/obo/ENVO_01000730>
"sedimentation in a water body"@en	"envoPolar"	"A material accumulation process during which solid particles are pulled through a water body by gravitation or centrifugal force and which ends when they settle on a solid surface."	<http://purl.obolibrary.org/obo/ENVO_03000036>
"area of developed space with low usage intensity"@en	"nlcd2011"	"An area of a planet's surface which is primarily covered by cultivated or anthropically maintained vegetation and by constructed or manufactured objects and materials covering up to approximately half its extent. Such areas are used for low intensity purposes such as accommodating collections of single-family residential units. This area is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	<http://purl.obolibrary.org/obo/ENVO_01000884>
"ice gain"@en	"envoPolar"	"A material accumulation process during which the mass of an existing ice mass increases."	<http://purl.obolibrary.org/obo/ENVO_03000011>
"frazil ice formation"@en	"envoPolar"	"A new ice formation process in which frazil ice crystals form due to the freezing of open, turbulent, supercooled water."	<http://purl.obolibrary.org/obo/ENVO_03000047>
"avalanche"@en	"envoPolar"	"An avalanche is a rapid flow of snow down a sloping surface."	<http://purl.obolibrary.org/obo/ENVO_01000691>
"first year ice"@en	"envoPolar"	"Sea ice which is thicker than young ice."	<http://purl.obolibrary.org/obo/ENVO_03000071>
"air pollution"	"envoPolar"	"A pollution process that releases particulates into the atmosphere."	<http://purl.obolibrary.org/obo/ENVO_02500037>
"alpine"	"envoPolar"	"An alpine condition is an environmental condition in which the monthly mean temperature is less than 10 degrees Celsius and which occurs at altitudes above the tree line and below the snowline."	<http://purl.obolibrary.org/obo/ENVO_01000340>
"permafrost"	"envoPolar"	"Soil at or below the freezing point of water (0C or 32F) for two or more years. Ice is not always present, as may be in the case of nonporous bedrock, but it frequently occurs and it may be in amounts exceeding the potential hydraulic saturation of the ground material."	<http://purl.obolibrary.org/obo/ENVO_00000134>
"iceberg"	"envoPolar"	"A large mass of detached land ice in the sea or stranded in shallow water."	<http://purl.obolibrary.org/obo/ENVO_00000298>
"solid-phase sintering"@en	"envoPolar"	"A compaction process during which a material entity subjected to heat and/or pressure is compacted into a solid mass without undergoing melting."	<http://purl.obolibrary.org/obo/ENVO_03000101>
"subpolar coniferous forest biome"	"wwfBiome"	"A subpolar coniferous forest biome is a coniferous forest biome which includes communities adapted to subpolar conditions."	<http://purl.obolibrary.org/obo/ENVO_01000250>
"planetary atmosphere"@en	"envoPolar"	"An atmosphere which surrounds a planet."	<http://purl.obolibrary.org/obo/ENVO_01000810>
"hot spring"	<http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC>	"A spring that is produced by the emergence of geothermally-heated groundwater from the Earth's crust."	<http://purl.obolibrary.org/obo/ENVO_00000051>
"flood"@en	"environmental_hazards"	"An unusual accumulation of water above the ground caused by high tide, heavy rain, melting snow or rapid runoff from paved areas."	<http://purl.obolibrary.org/obo/ENVO_01000710>
"cryosol"	"envoPolar"	"Cryosols comprise mineral soils formed in a permafrost environment. Where water is present, it occurs primarily in the form of ice. Cryogenic processes are the dominant soil-forming processes."	<http://purl.obolibrary.org/obo/ENVO_00002236>
"first year ice formation process"@en	"envoPolar"	"A sea ice formation process during which seawater freezes onto young ice during the cold season, forming first year ice."	<http://purl.obolibrary.org/obo/ENVO_03000060>
"tropical dry broadleaf forest biome"	"wwfBiome"		<http://purl.obolibrary.org/obo/ENVO_01000227>
"rockfall"@en	"environmental_hazards"		<http://purl.obolibrary.org/obo/ENVO_01000693>
"landslide process"@en	"environmental_hazards"	"A landslide is a process whereby a large mass of earth and rocks moves down a hill or a mountainside."	<http://purl.obolibrary.org/obo/ENVO_01000692>
"ecoregion"	"envoPolar"	"A large unit of land or water containing a geographically distinct assemblage of species, natural communities, and environmental conditions."	<http://purl.obolibrary.org/obo/ENVO_01000276>
"material transformation process"@en	"envoPolar"	"A process during which a portion of some environmental material is converted into a different material or a collection of materials."	<http://purl.obolibrary.org/obo/ENVO_03000043>
"new ice"@en	"envoPolar"	"Water ice which is formed from freezing water during a new ice formation process and is suspended in a water body."	<http://purl.obolibrary.org/obo/ENVO_03000063>
"methane-releasing thermokarst lake"@en	"envoPolar"	"A thermokarst lake through which methane gas released from thawing permafrost, or other methane stores, rises and escapes to the atmosphere."	<http://purl.obolibrary.org/obo/ENVO_03000083>
"plastic pollution"	"environmental_hazards"	"A pollution process that results in increased levels of plastic in the environment."	<http://purl.obolibrary.org/obo/ENVO_02500040>
"freshwater biome"	"envoPolar"	"A biome that applies to the freshwater realm."	<http://purl.obolibrary.org/obo/ENVO_00000873>
"glacial ice"@en	"envoPolar"	"Any water ice that is part of a glacier."	<http://purl.obolibrary.org/obo/ENVO_03000004>
"environmental role"	"envoPolar"	"A role which is may be realised by an environmental system"	<http://purl.obolibrary.org/obo/ENVO_01001303>
"natural harbor"	"envoPolar"	"A harbor which is formed by a natural landform where a part of a body of water is protected and deep enough to furnish anchorage."	<http://purl.obolibrary.org/obo/ENVO_00000465>
"underground water"	"envoPolar"	"Water which has physicochemical properties determined by processes which occur beneath the planetary crust."	<http://purl.obolibrary.org/obo/ENVO_00005792>
"slush ice layer"@en	"envoPolar"	"A layer which consists of slush ice."	<http://purl.obolibrary.org/obo/ENVO_03000077>
"hanging valley"	"envoPolar"	"A tributary valley with the floor at a higher relief than the main channel into which it flows. They are most commonly associated with U-shaped valleys when a tributary glacier flows into a glacier of larger volume."	<http://purl.obolibrary.org/obo/ENVO_00000184>
"brackish water"	"envoPolar"	"Water which has a higher salinity than fresh water but a lower salinity than marine water."	<http://purl.obolibrary.org/obo/ENVO_00002019>
"temperate coniferous forest biome"	"wwfBiome"		<http://purl.obolibrary.org/obo/ENVO_01000211>
"water-based rainfall"@en	"envoPolar"	"A hydrological precipitation process in which atmospheric water vapour condenses to form droplets of liquid water massive enough to fall to a planetary surface due to the planet's gravity."	<http://purl.obolibrary.org/obo/ENVO_01000830>
"explosion process"@en	"envoPolar"	"A process during which a material entity undergoes a rapid increase in volume, releasing gasses and various forms of energy, often including thermal, light and sound energy."	<http://purl.obolibrary.org/obo/ENVO_03000090>
"flash flooding"@en	"environmental_hazards"	"Flash flooding is a process in which low-lying land is inundated with water for a short period of time and are usually the result of precipitation or a breach in the container of a water body."	<http://purl.obolibrary.org/obo/ENVO_01000709>
"saline water environment"	"envoPolar"		<http://purl.obolibrary.org/obo/ENVO_01000307>
"continental crust"@en	"envoPolar"	"A layer of igneous, sedimentary, and metamorphic rocks that forms continents and the areas of shallow seabed close to their shores, known as continental shelves."	<http://purl.obolibrary.org/obo/ENVO_01000748>
"island"	"envoPolar"	"Area of dry or relatively dry land surrounded by water or low wetland."	<http://purl.obolibrary.org/obo/ENVO_00000098>
