?label	?subset	?def	?cls
"marine pockmark"	"envoPolar"	"Pockmarks are craters in the seabed resulting from the release of gas or liquid. Generally, they are formed in soft, fine-grained seabed sediments by the escape of fluids (gas or water, but mainly methane) into the water column."	<http://purl.obolibrary.org/obo/ENVO_01000160>
"marine wind mixed layer"	"envoPolar"	"The upper part of the marine water column with generally uniform properties resulting from wind-driven mixing."	<http://purl.obolibrary.org/obo/ENVO_01000061>
"second year ice"@en	"envoPolar"	"Sea ice which is thicker than first year ice, and has survived a seasonal melting process."	<http://purl.obolibrary.org/obo/ENVO_03000072>
"lightning flash"@en	"environmental_hazards"	"A lightning process during which electrostatic discharge occurs within a single cloud or between multiple clouds."	<http://purl.obolibrary.org/obo/ENVO_01000902>
"ash fall process"@en	"environmental_hazards"	"An ash fall process is a process in which volcanic ash formed during an explosive volcanic eruption, phreatomagmatic eruption, or during material transport in pyroclastic density currents is pulled towards the planetary surface by gravity."	<http://purl.obolibrary.org/obo/ENVO_01000702>
"rainstorm"@en	"environmental_hazards"	"An atmospheric storm during which intense rainfall occurs."	<http://purl.obolibrary.org/obo/ENVO_01000879>
"pelagic isohaline surface"	"envoPolar"	"A roughly planar, pelagic region characterised by equal salinity."	<http://purl.obolibrary.org/obo/ENVO_01000081>
"greenhouse gas"	"envoPolar"		<http://purl.obolibrary.org/obo/CHEBI_76413>
"slush formation process"@en	"envoPolar"	"A new ice formation process in which slush ice is formed."	<http://purl.obolibrary.org/obo/ENVO_03000078>
"area of moss-dominated vegetation"@en	"nlcd2011"	"An area of a planet's surface which is primarily covered by mosses and which is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	<http://purl.obolibrary.org/obo/ENVO_01000890>
"sea ice"	"envoPolar"	"A frozen portion of sea water."	<http://purl.obolibrary.org/obo/ENVO_00002200>
"storm surge"@en	"environmental_hazards"	"A storm surge is a coastal flood which is caused by low-pressure weather systems such as tropical cyclones and strong extratropical cyclones, the severity of which is affected by the shallowness and orientation of the water body relative to storm path, and the timing of tides."	<http://purl.obolibrary.org/obo/ENVO_01000714>
"area of developed space with high usage intensity"@en	"nlcd2011"	"An area of a planet's surface which is primarily covered by constructed or manufactured objects and materials, possibly interspersed with cultivated or anthropically maintained vegetation. Such areas are used for hgih intensity purposes such as accommodating dense and multi-occupant residential, commercial, and industrial units. This area is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	<http://purl.obolibrary.org/obo/ENVO_01000886>
