x,xl,p,pl,y,yl
http://purl.obolibrary.org/obo/ENVO_00000005,first-order administrative region,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000009,national geopolitical entity
http://purl.obolibrary.org/obo/ENVO_00000044,peatland,http://purl.obolibrary.org/obo/BFO_0000051,,http://purl.obolibrary.org/obo/ENVO_00005774,peat soil
http://purl.obolibrary.org/obo/ENVO_00002138,beach sand,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00002199,sandy beach
http://purl.obolibrary.org/obo/ENVO_00000246,volcanic crater,http://purl.obolibrary.org/obo/RO_0002354,,http://purl.obolibrary.org/obo/ENVO_01000634,volcanic eruption
http://purl.obolibrary.org/obo/ENVO_00000406,mid-ocean ridge,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000015,ocean
http://purl.obolibrary.org/obo/ENVO_01000072,marine Taylor column,http://purl.obolibrary.org/obo/RO_0001025,,http://purl.obolibrary.org/obo/ENVO_00001999,marine water body
http://purl.obolibrary.org/obo/ENVO_01000252,freshwater lake biome,http://purl.obolibrary.org/obo/BFO_0000051,,http://purl.obolibrary.org/obo/ENVO_00000021,freshwater lake
http://purl.obolibrary.org/obo/ENVO_00000244,abyssal plain,http://purl.obolibrary.org/obo/RO_0002150,,http://purl.obolibrary.org/obo/ENVO_00000426,ocean floor
http://purl.obolibrary.org/obo/ENVO_00000194,scree,http://purl.obolibrary.org/obo/RO_0001000,,http://purl.obolibrary.org/obo/ENVO_00001995,rock
http://purl.obolibrary.org/obo/ENVO_01000396,tropical sclerophyllous dry forest,http://purl.obolibrary.org/obo/envo#has_condition,has_condition,http://purl.obolibrary.org/obo/ENVO_01000204,tropical
http://purl.obolibrary.org/obo/ENVO_01000530,ventilated improved pit latrine,http://purl.obolibrary.org/obo/BFO_0000051,,http://purl.obolibrary.org/obo/ENVO_01000522,latrine pit
http://purl.obolibrary.org/obo/ENVO_00000457,plateau glacier,http://purl.obolibrary.org/obo/RO_0001025,,http://purl.obolibrary.org/obo/ENVO_00000182,plateau
http://purl.obolibrary.org/obo/ENVO_00002115,petroleum contaminated sediment,http://purl.obolibrary.org/obo/envo#has_increased_levels_of,,http://purl.obolibrary.org/obo/ENVO_00002984,petroleum
http://purl.obolibrary.org/obo/ENVO_01000495,stone exterior wall,http://purl.obolibrary.org/obo/RO_0002473,,http://purl.obolibrary.org/obo/ENVO_00001995,rock
http://purl.obolibrary.org/obo/ENVO_01000139,animal carcass fall,http://purl.obolibrary.org/obo/RO_0002220,,http://purl.obolibrary.org/obo/ENVO_00000501,bed
